domain_2	domain_1	domain_domain_interaction	count_new	frequency	domain1_description	domain2_description	marginal_count_domain1_on_5prime_side	marginal_freq_domain1_on_5prime_side	marginal_count_domain2_on_3prime_side	marginal_freq_domain2_on_3prime_side	marginal_count_domain2_on_5prime_side	marginal_freq_domain2_on_5prime_side	marginal_count_domain1_on_3prime_side	marginal_freq_domain1_on_3prime_side	same_domains	normal_freq_domain_1	normal_freq_domain_2	pairbinom.lower	null_prob	foldchange	p_value
DUF4498	DHC_N1	DHC_N1--DUF4498	3	9.5026924295217e-05	Dyneinheavychain,N-terminalregion1	Domainofunknownfunction(DUF4498)	25	0.000824565454005739	9	0.000296843563442066	0	0	5	0.000164913090801148	0	0.000445765230312036	4.95294700346706e-05	9.98575935606816e-07	4.41570312344761e-08	2152.02248970542	1.57151940027522e-13
DUF902	Ank_2	Ank_2--DUF902	7	0.000221729490022173	Ankyrinrepeats(3copies)	DomainofUnknownFunction(DUF902)	169	0.0055740624690788	2	6.59652363204591e-05	9	0.000296843563442066	86	0.00283650516177974	0	0.0109955423476969	9.90589400693413e-05	2.04102772656256e-05	2.17841354090082e-06	101.784847486067	1.16649129857362e-14
DUF902	BCOR	BCOR--DUF902	6	0.000190053848590434	BCL-6co-repressor,non-ankyrin-repeatregion	DomainofUnknownFunction(DUF902)	1	3.29826181602296e-05	2	6.59652363204591e-05	9	0.000296843563442066	6	0.000197895708961377	0	9.90589400693413e-05	9.90589400693413e-05	1.3243871181734e-05	1.96253472153227e-08	9684.10120367437	6.9452628080384e-27
DUF953	CSD	CSD--DUF953	2	6.3351282863478e-05	'Cold-shock'DNA-bindingdomain	Eukaryoticproteinofunknownfunction(DUF953)	7	0.000230878327121607	0	0	4	0.000131930472640918	8	0.000263860945281836	0	0.000396235760277365	4.95294700346706e-05	1.00939549274592e-07	3.92506944306453e-08	1614.01686727906	3.16788709332132e-10
Dishevelled	BAR_3	BAR_3--Dishevelled	3	9.5026924295217e-05	BARdomainofAPPLfamily	Dishevelledspecificdomain	47	0.00155018305353079	3	9.89478544806887e-05	3	9.89478544806887e-05	5	0.000164913090801148	0	0.000594353640416047	0.000148588410104012	9.98575935606816e-07	1.76628124937904e-07	538.005622426354	4.00965540253594e-11
Dsh_C	BAR_3	BAR_3--Dsh_C	3	9.5026924295217e-05	BARdomainofAPPLfamily	Segmentpolarityproteindishevelled(Dsh)Cterminal	47	0.00155018305353079	3	9.89478544806887e-05	2	6.59652363204591e-05	5	0.000164913090801148	0	0.000594353640416047	0.000148588410104012	9.98575935606816e-07	1.76628124937904e-07	538.005622426354	4.00965540253594e-11
Dynamin_N	Choline_transpo	Choline_transpo--Dynamin_N	3	9.5026924295217e-05	Plasma-membranecholinetransporter	Dynaminfamily	2	6.59652363204591e-05	5	0.000164913090801148	61	0.002011939707774	10	0.000329826181602296	0	0.000247647350173353	0.000742942050520059	9.98575935606816e-07	3.679752602873e-07	258.24269876465	7.51699339792631e-10
EF-hand_8	AKAP7_NLS	AKAP7_NLS--EF-hand_8	4	0.000126702565726956	AKAP72'5'RNAligase-likedomain	EF-handdomainpair	12	0.000395791417922755	32	0.00105544378112735	12	0.000395791417922755	2	6.59652363204591e-05	0	0.000148588410104012	0.00173353145121347	3.4094320602307e-06	5.1516536440222e-07	245.945427394905	9.35197617902247e-12
Enolase_C	Ala_racemase_N	Ala_racemase_N--Enolase_C	2	6.3351282863478e-05	Alanineracemase,N-terminaldomain	Enolase,C-terminalTIMbarreldomain	3	9.89478544806887e-05	13	0.000428774036082984	1	3.29826181602296e-05	1	3.29826181602296e-05	0	4.95294700346706e-05	0.000198117880138683	1.00939549274592e-07	1.96253472153227e-08	3228.03373455812	3.96169909769642e-11
FAM180	AdoHcyase	AdoHcyase--FAM180	2	6.3351282863478e-05	S-adenosyl-L-homocysteinehydrolase	FAM180family	1	3.29826181602296e-05	0	0	2	6.59652363204591e-05	7	0.000230878327121607	0	0.000148588410104012	9.90589400693413e-05	1.00939549274592e-07	2.94380208229841e-08	2152.02248970541	1.33676286800954e-10
FAM180	AdoHcyase_NAD	AdoHcyase_NAD--FAM180	2	6.3351282863478e-05	S-adenosyl-L-homocysteinehydrolase,NADbindingdomain	FAM180family	1	3.29826181602296e-05	0	0	2	6.59652363204591e-05	10	0.000329826181602296	0	0.000148588410104012	9.90589400693413e-05	1.00939549274592e-07	2.94380208229841e-08	2152.02248970541	1.33676286800954e-10
FAM193_C	Aldolase_II	Aldolase_II--FAM193_C	2	6.3351282863478e-05	ClassIIAldolaseandAdducinN-terminaldomain	FAM193familyC-terminal	3	9.89478544806887e-05	3	9.89478544806887e-05	1	3.29826181602296e-05	1	3.29826181602296e-05	0	0.000198117880138683	9.90589400693413e-05	1.00939549274592e-07	3.92506944306455e-08	1614.01686727906	3.16788709332134e-10
FDX-ACB	Complex1_LYR	Complex1_LYR--FDX-ACB	2	6.3351282863478e-05	Complex1protein(LYRfamily)	Ferredoxin-foldanticodonbindingdomain	15	0.000494739272403443	3	9.89478544806887e-05	1	3.29826181602296e-05	1	3.29826181602296e-05	0	0.000495294700346706	9.90589400693413e-05	1.00939549274592e-07	9.81267360766134e-08	645.606746911625	4.94292955263681e-09
FHA	C1_1	C1_1--FHA	9	0.000285080772885651	Phorbolesters/diacylglycerolbindingdomain(C1domain)	FHAdomain	58	0.00191299185329331	21	0.000692634981364821	74	0.00244071374385699	24	0.000791582835845509	0	0.00247647350173353	0.00148588410104012	3.84054540903955e-05	7.35950520574601e-06	38.7364048146975	1.0214787642082e-13
FYTT	DDOST_48kD	DDOST_48kD--FYTT	2	6.3351282863478e-05	Oligosaccharyltransferase48kDasubunitbeta	Forty-two-threeprotein	1	3.29826181602296e-05	2	6.59652363204591e-05	4	0.000131930472640918	2	6.59652363204591e-05	0	4.95294700346706e-05	4.95294700346706e-05	1.00939549274592e-07	4.90633680383067e-09	12912.1349382325	6.19231229624412e-13
F_actin_bind	Bcr-Abl_Oligo	Bcr-Abl_Oligo--F_actin_bind	4	0.000126702565726956	Bcr-Abloncoproteinoligomerisationdomain	F-actinbinding	15	0.000494739272403443	5	0.000164913090801148	0	0	0	0	0	4.95294700346706e-05	9.90589400693413e-05	3.4094320602307e-06	9.81267360766134e-09	12912.1349382325	2.37617685504727e-20
Furin-like	DARPP-32	DARPP-32--Furin-like	4	0.000126702565726956	Proteinphosphataseinhibitor1/DARPP-32	Furin-likecysteinerichregion	4	0.000131930472640918	9	0.000296843563442066	87	0.00286948777993997	7	0.000230878327121607	0	0.000148588410104012	0.000346706290242694	3.4094320602307e-06	1.03033072880444e-07	1229.72713697452	3.02524376733929e-15
Furin-like_2	fn3	fn3--Furin-like_2	4	0.000126702565726956	FibronectintypeIIIdomain	Furin-likerepeat,cysteine-rich	103	0.00339720967050364	11	0.000362808799762525	0	0	74	0.00244071374385699	0	0.00678553739474988	0.000198117880138683	3.4094320602307e-06	2.68867256849922e-06	47.1245800665418	3.42026755801501e-08
G-patch	C1_1	C1_1--G-patch	9	0.000285080772885651	Phorbolesters/diacylglycerolbindingdomain(C1domain)	G-patchdomain	58	0.00191299185329331	20	0.000659652363204591	17	0.000560704508723902	24	0.000791582835845509	0	0.00247647350173353	0.00113917781079742	3.84054540903955e-05	5.64228732440525e-06	50.5257454104752	7.52763658381836e-15
GAD	DUF3694	DUF3694--GAD	2	6.3351282863478e-05	Kinesinprotein	GADdomain	16	0.000527721890563673	2	6.59652363204591e-05	0	0	1	3.29826181602296e-05	0	0.000297176820208024	4.95294700346706e-05	1.00939549274592e-07	2.9438020822984e-08	2152.02248970542	1.33676286800954e-10
GATA	EGF_CA	EGF_CA--GATA	5	0.000158378207158695	Calcium-bindingEGFdomain	GATAzincfinger	66	0.00217685279857515	18	0.000593687126884132	3	9.89478544806887e-05	39	0.00128632210824895	0	0.00376423972263497	0.000693412580485389	7.52100867729144e-06	5.22034235927584e-06	30.3386629187793	2.41577005147355e-08
GATA	FXa_inhibition	FXa_inhibition--GATA	5	0.000158378207158695	CoagulationFactorXainhibitorysite	GATAzincfinger	47	0.00155018305353079	18	0.000593687126884132	3	9.89478544806887e-05	22	0.00072561759952505	0	0.00178306092124814	0.000693412580485389	7.52100867729144e-06	2.47279374913066e-06	64.0482883840899	2.939013153353e-10
GF_recep_IV	DARPP-32	DARPP-32--GF_recep_IV	3	9.5026924295217e-05	Proteinphosphataseinhibitor1/DARPP-32	GrowthfactorreceptordomainIV	4	0.000131930472640918	11	0.000362808799762525	42	0.00138526996272964	7	0.000230878327121607	0	0.000148588410104012	0.000297176820208024	9.98575935606816e-07	8.83140624689522e-08	1076.01124485271	2.51162898459442e-12
GPS2_interact	CD36	CD36--GPS2_interact	4	0.000126702565726956	CD36family	G-proteinpathwaysuppressor2-interactingdomain	9	0.000296843563442066	0	0	24	0.000791582835845509	4	0.000131930472640918	0	0.000148588410104012	9.90589400693413e-05	3.4094320602307e-06	2.94380208229841e-08	4304.04497941083	5.77112981143787e-18
GPS2_interact	Ceramidase	Ceramidase--GPS2_interact	2	6.3351282863478e-05	Ceramidase	G-proteinpathwaysuppressor2-interactingdomain	17	0.000560704508723902	0	0	24	0.000791582835845509	4	0.000131930472640918	0	0.000148588410104012	9.90589400693413e-05	1.00939549274592e-07	2.94380208229841e-08	2152.02248970541	1.33676286800954e-10
GPS2_interact	DUF525	DUF525--GPS2_interact	2	6.3351282863478e-05	ApaGdomain	G-proteinpathwaysuppressor2-interactingdomain	0	0	0	0	24	0.000791582835845509	7	0.000230878327121607	0	9.90589400693413e-05	9.90589400693413e-05	1.00939549274592e-07	1.96253472153227e-08	3228.03373455812	3.96169909769642e-11
Gal_Lectin	Erf4	Erf4--Gal_Lectin	2	6.3351282863478e-05	GolginsubfamilyAmember7/ERF4family	Galactosebindinglectindomain	10	0.000329826181602296	4	0.000131930472640918	7	0.000230878327121607	1	3.29826181602296e-05	0	0.000198117880138683	0.000247647350173353	1.00939549274592e-07	9.81267360766136e-08	645.606746911624	4.94292955263685e-09
Glyco_transf_29	DUF4498	DUF4498--Glyco_transf_29	4	0.000126702565726956	Domainofunknownfunction(DUF4498)	Glycosyltransferasefamily29(sialyltransferase)	0	0	10	0.000329826181602296	14	0.000461756654243214	9	0.000296843563442066	0	4.95294700346706e-05	0.000990589400693413	3.4094320602307e-06	9.81267360766134e-08	1291.21349382325	2.37066355977696e-15
HARE-HTH	EMP70	EMP70--HARE-HTH	4	0.000126702565726956	Endomembraneprotein70	HB1,ASXL,restrictionendonucleaseHTHdomain	12	0.000395791417922755	0	0	11	0.000362808799762525	8	0.000263860945281836	0	0.000297176820208024	0.000148588410104012	3.4094320602307e-06	8.83140624689522e-08	1434.68165980361	1.40021446872238e-15
HAT_KAT11	Ank_2	Ank_2--HAT_KAT11	6	0.000190053848590434	Ankyrinrepeats(3copies)	Histoneacetylationprotein	169	0.0055740624690788	2	6.59652363204591e-05	6	0.000197895708961377	86	0.00283650516177974	0	0.0109955423476969	9.90589400693413e-05	1.3243871181734e-05	2.17841354090082e-06	87.2441549880573	1.35852967469619e-12
HAT_KAT11	BCOR	BCOR--HAT_KAT11	6	0.000190053848590434	BCL-6co-repressor,non-ankyrin-repeatregion	Histoneacetylationprotein	1	3.29826181602296e-05	2	6.59652363204591e-05	6	0.000197895708961377	6	0.000197895708961377	0	9.90589400693413e-05	9.90589400693413e-05	1.3243871181734e-05	1.96253472153227e-08	9684.10120367437	6.9452628080384e-27
HDAC4_Gln	dNK	dNK--HDAC4_Gln	2	6.3351282863478e-05	Deoxynucleosidekinase	GlutaminerichNterminaldomainofhistonedeacetylase4	6	0.000197895708961377	1	3.29826181602296e-05	7	0.000230878327121607	6	0.000197895708961377	0	0.000247647350173353	0.000148588410104012	1.00939549274592e-07	7.35950520574601e-08	860.808995882166	2.08650972089964e-09
HELP	Cyclin_C	Cyclin_C--HELP	48	0.00152043078872347	Cyclin,C-terminaldomain	HELPmotif	8	0.000263860945281836	5	0.000164913090801148	12	0.000395791417922755	15	0.000494739272403443	0	0.000842000990589401	0.000297176820208024	0.000743557144466722	5.00446353990729e-07	3038.14939723117	8.4327420873101e-152
HELP	Cyclin_N	Cyclin_N--HELP	48	0.00152043078872347	Cyclin,N-terminaldomain	HELPmotif	26	0.000857548072165968	5	0.000164913090801148	12	0.000395791417922755	12	0.000395791417922755	0	0.00158494304110946	0.000297176820208024	0.000743557144466722	9.4201666633549e-07	1614.01686727906	2.40102522171583e-138
HS1_rep	Anoctamin	Anoctamin--HS1_rep	2	6.3351282863478e-05	Calcium-activatedchloridechannel	RepeatinHS1/Cortactin	20	0.000659652363204591	3	9.89478544806887e-05	17	0.000560704508723902	16	0.000527721890563673	0	0.000495294700346706	9.90589400693413e-05	1.00939549274592e-07	9.81267360766134e-08	645.606746911625	4.94292955263681e-09
HS1_rep	Furin-like	Furin-like--HS1_rep	2	6.3351282863478e-05	Furin-likecysteinerichregion	RepeatinHS1/Cortactin	87	0.00286948777993997	3	9.89478544806887e-05	17	0.000560704508723902	9	0.000296843563442066	0	0.000346706290242694	9.90589400693413e-05	1.00939549274592e-07	6.86887152536294e-08	922.295352730894	1.69660672338121e-09
His_Phos_2	BCL9	BCL9--His_Phos_2	2	6.3351282863478e-05	B-celllymphoma9protein	Histidinephosphatasesuperfamily(branch2)	0	0	3	9.89478544806887e-05	21	0.000692634981364821	2	6.59652363204591e-05	0	9.90589400693413e-05	0.000396235760277365	1.00939549274592e-07	7.85013888612908e-08	807.008433639531	2.53195592917029e-09
Hormone_recep	BAT2_N	BAT2_N--Hormone_recep	3	9.5026924295217e-05	BAT2N-terminus	Ligand-bindingdomainofnuclearhormonereceptor	13	0.000428774036082984	58	0.00191299185329331	12	0.000395791417922755	0	0	0	0.000148588410104012	0.00237741456166419	9.98575935606816e-07	7.06512499751617e-07	134.501405606588	1.01283428645948e-08
Hormone_recep	DUF3583	DUF3583--Hormone_recep	14	0.000443458980044346	Proteinofunknownfunction(DUF3583)	Ligand-bindingdomainofnuclearhormonereceptor	18	0.000593687126884132	58	0.00191299185329331	12	0.000395791417922755	0	0	0	4.95294700346706e-05	0.00237741456166419	9.90208761832978e-05	2.35504166583872e-07	1883.01967849224	8.87417012668023e-45
Hydrolase	Bromodomain	Bromodomain--Hydrolase	5	0.000158378207158695	Bromodomain	haloaciddehalogenase-likehydrolase	47	0.00155018305353079	22	0.00072561759952505	12	0.000395791417922755	24	0.000791582835845509	0	0.00193164933135215	0.000842000990589401	7.52100867729144e-06	3.25290130093973e-06	48.6882916222946	1.49124248518065e-09
Hydrolase	DUF3544	DUF3544--Hydrolase	5	0.000158378207158695	ProteinkinaseC-bindingprotein1	haloaciddehalogenase-likehydrolase	8	0.000263860945281836	22	0.00072561759952505	12	0.000395791417922755	1	3.29826181602296e-05	0	4.95294700346706e-05	0.000842000990589401	7.52100867729144e-06	8.34077256651214e-08	1898.84337326949	4.61706842134733e-19
I-set	Furin-like_2	Furin-like_2--I-set	4	0.000126702565726956	Furin-likerepeat,cysteine-rich	ImmunoglobulinI-setdomain	0	0	57	0.00188000923513308	173	0.00570599294171971	11	0.000362808799762525	0	0.000198117880138683	0.00668647845468053	3.4094320602307e-06	2.64942187406857e-06	47.8227219934536	3.18107254408562e-08
IBB	GMP_synt_C	GMP_synt_C--IBB	3	9.5026924295217e-05	GMPsynthaseCterminaldomain	Importinbetabindingdomain	0	0	1	3.29826181602296e-05	17	0.000560704508723902	3	9.89478544806887e-05	0	4.95294700346706e-05	0.000396235760277365	9.98575935606816e-07	3.92506944306453e-08	2421.0253009186	9.81213383197185e-14
ICAP-1_inte_bdg	BAR_3	BAR_3--ICAP-1_inte_bdg	2	6.3351282863478e-05	BARdomainofAPPLfamily	Beta-1integrinbindingprotein	47	0.00155018305353079	2	6.59652363204591e-05	0	0	5	0.000164913090801148	0	0.000594353640416047	4.95294700346706e-05	1.00939549274592e-07	5.8876041645968e-08	1076.01124485271	1.06866527778517e-09
INPP5B_PH	DUF3449	DUF3449--INPP5B_PH	3	9.5026924295217e-05	Domainofunknownfunction(DUF3449)	TypeIIinositol1,4,5-trisphosphate5-phosphatasePHdomain	1	3.29826181602296e-05	0	0	4	0.000131930472640918	5	0.000164913090801148	0	4.95294700346706e-05	4.95294700346706e-05	9.98575935606816e-07	4.90633680383067e-09	19368.2024073488	2.39761897043409e-17
IP_trans	DDT	DDT--IP_trans	2	6.3351282863478e-05	DDTdomain	Phosphatidylinositoltransferprotein	17	0.000560704508723902	10	0.000329826181602296	16	0.000527721890563673	0	0	0	0.000198117880138683	0.000247647350173353	1.00939549274592e-07	9.81267360766136e-08	645.606746911624	4.94292955263685e-09
Ints3	FoP_duplication	FoP_duplication--Ints3	4	0.000126702565726956	C-terminalduplicationdomainofFriendofPRMT1	Integratorcomplexsubunit3	0	0	0	0	4	0.000131930472640918	4	0.000131930472640918	0	9.90589400693413e-05	4.95294700346706e-05	3.4094320602307e-06	9.81267360766134e-09	12912.1349382325	2.37617685504727e-20
JAB	IP_trans	IP_trans--JAB	3	9.5026924295217e-05	Phosphatidylinositoltransferprotein	JAB1/Mov34/MPN/PAD-1ubiquitinprotease	16	0.000527721890563673	6	0.000197895708961377	11	0.000362808799762525	10	0.000329826181602296	0	0.000247647350173353	0.000594353640416047	9.98575935606816e-07	2.9438020822984e-07	322.803373455813	3.08468600845042e-10
KA1	DUF2315	DUF2315--KA1	2	6.3351282863478e-05	Apoptogenicprotein1	Kinaseassociateddomain1	4	0.000131930472640918	6	0.000197895708961377	0	0	0	0	0	9.90589400693413e-05	0.000247647350173353	1.00939549274592e-07	4.90633680383067e-08	1291.21349382325	6.18584233291139e-10
KELK	COX16	COX16--KELK	2	6.3351282863478e-05	CytochromecoxidaseassemblyproteinCOX16	KELK-motifcontainingdomainofMRCKSer/Thrproteinkinase	0	0	0	0	7	0.000230878327121607	2	6.59652363204591e-05	0	9.90589400693413e-05	9.90589400693413e-05	1.00939549274592e-07	1.96253472153227e-08	3228.03373455812	3.96169909769642e-11
KIAA1430	ANAPC3	ANAPC3--KIAA1430	2	6.3351282863478e-05	Anaphase-promotingcomplex,cyclosome,subunit3	KIAA1430homologue	8	0.000263860945281836	6	0.000197895708961377	2	6.59652363204591e-05	3	9.89478544806887e-05	0	0.000297176820208024	0.000148588410104012	1.00939549274592e-07	8.83140624689522e-08	717.340829901805	3.60423274982316e-09
KIX	Ank_2	Ank_2--KIX	7	0.000221729490022173	Ankyrinrepeats(3copies)	KIXdomain	169	0.0055740624690788	1	3.29826181602296e-05	19	0.000626669745044362	86	0.00283650516177974	0	0.0109955423476969	9.90589400693413e-05	2.04102772656256e-05	2.17841354090082e-06	101.784847486067	1.16649129857362e-14
KIX	BCOR	BCOR--KIX	6	0.000190053848590434	BCL-6co-repressor,non-ankyrin-repeatregion	KIXdomain	1	3.29826181602296e-05	1	3.29826181602296e-05	19	0.000626669745044362	6	0.000197895708961377	0	9.90589400693413e-05	9.90589400693413e-05	1.3243871181734e-05	1.96253472153227e-08	9684.10120367437	6.9452628080384e-27
L27_2	CENP-S	CENP-S--L27_2	2	6.3351282863478e-05	CENP-Sprotein	L27_2	1	3.29826181602296e-05	0	0	15	0.000494739272403443	2	6.59652363204591e-05	0	9.90589400693413e-05	9.90589400693413e-05	1.00939549274592e-07	1.96253472153227e-08	3228.03373455812	3.96169909769642e-11
L27_2	CTF_NFI	CTF_NFI--L27_2	2	6.3351282863478e-05	CTF/NF-Ifamilytranscriptionmodulationregion	L27_2	19	0.000626669745044362	0	0	15	0.000494739272403443	11	0.000362808799762525	0	0.000198117880138683	9.90589400693413e-05	1.00939549274592e-07	3.92506944306455e-08	1614.01686727906	3.16788709332134e-10
LCE	DHH	DHH--LCE	2	6.3351282863478e-05	DHHfamily	Latecornifiedenvelope	10	0.000329826181602296	2	6.59652363204591e-05	0	0	0	0	0	4.95294700346706e-05	0.000842000990589401	1.00939549274592e-07	8.34077256651214e-08	759.537349307794	3.03663447064703e-09
LUC7	ETS_PEA3_N	ETS_PEA3_N--LUC7	2	6.3351282863478e-05	PEA3subfamilyETS-domaintranscriptionfactorNterminaldomain	LUC7N_terminus	7	0.000230878327121607	1	3.29826181602296e-05	24	0.000791582835845509	7	0.000230878327121607	0	0.000148588410104012	0.000198117880138683	1.00939549274592e-07	5.88760416459683e-08	1076.0112448527	1.06866527778519e-09
Latrophilin	Erf4	Erf4--Latrophilin	2	6.3351282863478e-05	GolginsubfamilyAmember7/ERF4family	LatrophilinCytoplasmicC-terminalregion	10	0.000329826181602296	5	0.000164913090801148	0	0	1	3.29826181602296e-05	0	0.000198117880138683	0.000148588410104012	1.00939549274592e-07	5.88760416459683e-08	1076.0112448527	1.06866527778519e-09
Ldl_recept_a	GATA	GATA--Ldl_recept_a	5	0.000158378207158695	GATAzincfinger	Low-densitylipoproteinreceptordomainclassA	3	9.89478544806887e-05	22	0.00072561759952505	71	0.0023417658893763	18	0.000593687126884132	0	0.000693412580485389	0.00212976721149084	7.52100867729144e-06	2.95361475590607e-06	53.6218228331914	8.42473803306172e-10
Ldl_recept_b	GATA	GATA--Ldl_recept_b	5	0.000158378207158695	GATAzincfinger	Low-densitylipoproteinreceptorrepeatclassB	3	9.89478544806887e-05	8	0.000263860945281836	48	0.00158316567169102	18	0.000593687126884132	0	0.000693412580485389	0.000693412580485389	7.52100867729144e-06	9.61642013550812e-07	164.695598701945	1.05899325576274e-12
