domain	absolute_number	freq	Pfam_id	Pfam_description
AKAP95	8	0.000263860945281836	PF04988	A-kinaseanchoringprotein95(AKAP95)
AKAP_110	1	3.29826181602296e-05	PF05716	A-kinaseanchorprotein110kDa(AKAP110)
AKNA	2	6.59652363204591e-05	PF12443	AT-hook-containingtranscriptionfactor
ALG3	1	3.29826181602296e-05	PF05208	ALG3protein
ALMS_motif	3	9.89478544806887e-05	PF15309	ALMSmotif
ALS2CR11	2	6.59652363204591e-05	PF15729	Amyotrophiclateralsclerosis2candidate11
AMOP	3	9.89478544806887e-05	PF03782	AMOPdomain
AMP-binding	40	0.00131930472640918	PF00501	AMP-bindingenzyme
AMP-binding_C	12	0.000395791417922755	PF13193	AMP-bindingenzymeC-terminaldomain
AMPK1_CBM	1	3.29826181602296e-05	PF16561	GlycogenrecognitionsiteofAMP-activatedproteinkinase
AMP_N	9	0.000296843563442066	PF05195	AminopeptidaseP,N-terminaldomain
ANAPC1	1	3.29826181602296e-05	PF12859	Anaphase-promotingcomplexsubunit1
ANAPC10	8	0.000263860945281836	PF03256	Anaphase-promotingcomplex,subunit10(APC10)
ANAPC15	1	3.29826181602296e-05	PF15243	Anaphase-promotingcomplexsubunit15
ANAPC3	11	0.000362808799762525	PF12895	Anaphase-promotingcomplex,cyclosome,subunit3
ANAPC4_WD40	22	0.00072561759952505	PF12894	Anaphase-promotingcomplexsubunit4WD40domain
ANAPC5	4	0.000131930472640918	PF12862	Anaphase-promotingcomplexsubunit5
ANATO	3	9.89478544806887e-05	PF01821	Anaphylotoxin-likedomain
ANF_receptor	32	0.00105544378112735	PF01094	Receptorfamilyligandbindingregion
ANKH	7	0.000230878327121607	PF07260	Progressiveankylosisprotein(ANKH)
ANTH	14	0.000461756654243214	PF07651	ANTHdomain
AP3B1_C	2	6.59652363204591e-05	PF14796	Clathrin-adaptorcomplex-3beta-1subunitC-terminal
APC_N_CC	2	6.59652363204591e-05	PF16689	Coiled-coilN-terminusofAPC,dimerisationdomain
APG5	11	0.000362808799762525	PF04106	AutophagyproteinApg5
APG6	2	6.59652363204591e-05	PF04111	Apg6BARAdomain
APH	5	0.000164913090801148	PF01636	Phosphotransferaseenzymefamily
API5	2	6.59652363204591e-05	PF05918	Apoptosisinhibitoryprotein5(API5)
APOBEC_N	2	6.59652363204591e-05	PF08210	APOBEC-likeN-terminaldomain
APOC4	1	3.29826181602296e-05	PF15119	ApolipoproteinC4
APP_Cu_bd	9	0.000296843563442066	PF12924	Copper-bindingofamyloidprecursor,CuBD
APP_E2	10	0.000329826181602296	PF12925	E2domainofamyloidprecursorprotein
APP_N	8	0.000263860945281836	PF02177	AmyloidA4N-terminalheparin-binding
APP_amyloid	7	0.000230878327121607	PF10515	Beta-amyloidprecursorproteinC-terminus
APS_kinase	6	0.000197895708961377	PF01583	Adenylylsulphatekinase
AP_endonuc_2	2	6.59652363204591e-05	PF01261	Xyloseisomerase-likeTIMbarrel
ARA70	6	0.000197895708961377	PF12489	Nuclearcoactivator
ARD	3	9.89478544806887e-05	PF03079	ARD/ARD'family
ARGLU	1	3.29826181602296e-05	PF15346	Arginineandglutamate-rich1
ARID	43	0.00141825258088987	PF01388	ARID/BRIGHTDNAbindingdomain
ARL2_Bind_BART	2	6.59652363204591e-05	PF11527	TheARF-like2bindingproteinBART
AROS	2	6.59652363204591e-05	PF15684	ActiveregulatorofSIRT1,or40SribosomalproteinS19-binding1
ARPC4	1	3.29826181602296e-05	PF05856	ARP2/3complex20kDasubunit(ARPC4)
ARS2	1	3.29826181602296e-05	PF04959	Arsenite-resistanceprotein2
ART	4	0.000131930472640918	PF01129	NAD:arginineADP-ribosyltransferase
ASC	8	0.000263860945281836	PF00858	Amiloride-sensitivesodiumchannel
ASCH	2	6.59652363204591e-05	PF04266	ASCHdomain
ASD1	4	0.000131930472640918	PF08688	Apx/ShroomdomainASD1
ASD2	3	9.89478544806887e-05	PF08687	Apx/ShroomdomainASD2
ASF1_hist_chap	2	6.59652363204591e-05	PF04729	ASF1likehistonechaperone
ASH	2	6.59652363204591e-05	PF15780	Abnormalspindle-likemicrocephaly-assoc'd,ASPM-SPD-2-Hydin
ASL_C2	1	3.29826181602296e-05	PF14698	ArgininosuccinatelyaseC-terminal
ASXH	2	6.59652363204591e-05	PF13919	Asxhomologydomain
ATE_C	1	3.29826181602296e-05	PF04377	Arginine-tRNA-proteintransferase,Cterminus
ATE_N	1	3.29826181602296e-05	PF04376	Arginine-tRNA-proteintransferase,Nterminus
ATF7IP_BD	4	0.000131930472640918	PF16788	ATF-interactingproteinbindingdomain
ATG11	1	3.29826181602296e-05	PF10377	Autophagy-relatedprotein11
ATG13	2	6.59652363204591e-05	PF10033	Autophagy-relatedprotein13
ATG16	5	0.000164913090801148	PF08614	Autophagyprotein16(ATG16)
ATG2_CAD	3	9.89478544806887e-05	PF13329	Autophagy-relatedprotein2CADmotif
ATG7_N	8	0.000263860945281836	PF16420	Ubiquitin-likemodifier-activatingenzymeATG7N-terminus
ATG_C	3	9.89478544806887e-05	PF09333	Autophagy-relatedproteinCterminaldomain
ATP-cone	1	3.29826181602296e-05	PF03477	ATPconedomain
ATP-grasp_2	4	0.000131930472640918	PF08442	ATP-graspdomain
ATP-gua_Ptrans	3	9.89478544806887e-05	PF00217	ATP:guanidophosphotransferase,C-terminalcatalyticdomain
ATP-gua_PtransN	1	3.29826181602296e-05	PF02807	ATP:guanidophosphotransferase,N-terminaldomain
ATP-sulfurylase	3	9.89478544806887e-05	PF01747	ATP-sulfurylase
ATP-synt_C	5	0.000164913090801148	PF00137	ATPsynthasesubunitC
ATP-synt_E	4	0.000131930472640918	PF05680	ATPsynthaseEchain
ATP-synt_F	1	3.29826181602296e-05	PF01990	ATPsynthase(F/14-kDa)subunit
ATP-synt_F6	1	3.29826181602296e-05	PF05511	MitochondrialATPsynthasecouplingfactor6
ATP-synt_G	4	0.000131930472640918	PF04718	MitochondrialATPsynthasegsubunit
ATP-synt_S1	1	3.29826181602296e-05	PF05827	VacuolarATPsynthasesubunitS1(ATP6S1)
ATP-synt_ab	4	0.000131930472640918	PF00006	ATPsynthasealpha/betafamily,nucleotide-bindingdomain
ATP-synt_ab_N	4	0.000131930472640918	PF02874	ATPsynthasealpha/betafamily,beta-barreldomain
ATP-synt_ab_Xtn	1	3.29826181602296e-05	PF16886	ATPsynthasealpha/betasubunitN-termextension
ATP11	1	3.29826181602296e-05	PF06644	ATP11protein
ATP12	2	6.59652363204591e-05	PF07542	ATP12chaperoneprotein
ATP1G1_PLM_MAT8	7	0.000230878327121607	PF02038	ATP1G1/PLM/MAT8family
ATP_Ca_trans_C	7	0.000230878327121607	PF12424	PlasmamembranecalciumtransporterATPaseCterminal
ATP_bind_1	2	6.59652363204591e-05	PF03029	ConservedhypotheticalATPbindingprotein
ATP_bind_3	1	3.29826181602296e-05	PF01171	PP-loopfamily
ATP_synt_H	2	6.59652363204591e-05	PF05493	ATPsynthasesubunitH
ATXN-1_C	2	6.59652363204591e-05	PF12547	Capicuatranscriptionalrepressormodulator
AT_hook	25	0.000824565454005739	PF02178	AThookmotif
AXH	2	6.59652363204591e-05	PF08517	Ataxin-1andHBP1module(AXH)
AXIN1_TNKS_BD	10	0.000329826181602296	PF16646	Axin-1tankyrasebindingdomain
AZUL	3	9.89478544806887e-05	PF16558	Amino-terminalZinc-bindingdomainofubiquitinligaseE3A
A_deamin	5	0.000164913090801148	PF02137	Adenosine-deaminase(editase)domain
A_deaminase	2	6.59652363204591e-05	PF00962	Adenosine/AMPdeaminase
Aa_trans	36	0.00118737425376826	PF01490	Transmembraneaminoacidtransporterprotein
AbLIM_anchor	7	0.000230878327121607	PF16182	Putativeadherens-junctionanchoringregionofAbLIM
AbfB	3	9.89478544806887e-05	PF05270	Alpha-L-arabinofuranosidaseB(ABFB)domain
Abhydro_lipase	1	3.29826181602296e-05	PF04083	Partialalpha/beta-hydrolaselipaseregion
Abhydrolase_1	13	0.000428774036082984	PF00561	alpha/betahydrolasefold
Abhydrolase_2	6	0.000197895708961377	PF02230	Phospholipase/Carboxylesterase
Abhydrolase_3	3	9.89478544806887e-05	PF07859	alpha/betahydrolasefold
Abhydrolase_6	11	0.000362808799762525	PF12697	Alpha/betahydrolasefamily
Abi_HHR	1	3.29826181602296e-05	PF07815	Abl-interactorHHR
Acetyltransf_1	8	0.000263860945281836	PF00583	Acetyltransferase(GNAT)family
Acetyltransf_10	3	9.89478544806887e-05	PF13673	Acetyltransferase(GNAT)domain
Acetyltransf_16	1	3.29826181602296e-05	PF05301	GNATacetyltransferase,Mec-17
Aconitase	5	0.000164913090801148	PF00330	Aconitasefamily(aconitatehydratase)
Aconitase_C	7	0.000230878327121607	PF00694	AconitaseC-terminaldomain
Actin	55	0.00181404399881263	PF00022	Actin
Activin_recp	18	0.000593687126884132	PF01064	ActivintypesIandIIreceptordomain
Acyl-CoA_dh_1	8	0.000263860945281836	PF00441	Acyl-CoAdehydrogenase,C-terminaldomain
Acyl-CoA_dh_M	14	0.000461756654243214	PF02770	Acyl-CoAdehydrogenase,middledomain
Acyl-CoA_dh_N	13	0.000428774036082984	PF02771	Acyl-CoAdehydrogenase,N-terminaldomain
Acyl-CoA_ox_N	8	0.000263860945281836	PF14749	Acyl-coenzymeAoxidaseN-terminal
Acyl_transf_1	3	9.89478544806887e-05	PF00698	Acyltransferasedomain
Acylphosphatase	1	3.29826181602296e-05	PF00708	Acylphosphatase
Acyltransferase	13	0.000428774036082984	PF01553	Acyltransferase
Ada3	2	6.59652363204591e-05	PF10198	Histoneacetyltransferasessubunit3
Adap_comp_sub	13	0.000428774036082984	PF00928	Adaptorcomplexesmediumsubunitfamily
Adaptin_N	40	0.00131930472640918	PF01602	AdaptinNterminalregion
AdenylateSensor	3	9.89478544806887e-05	PF16579	AdenylatesensorofSNF1-likeproteinkinase
Adenylsucc_synt	5	0.000164913090801148	PF00709	Adenylosuccinatesynthetase
AdoHcyase	8	0.000263860945281836	PF05221	S-adenosyl-L-homocysteinehydrolase
AdoHcyase_NAD	11	0.000362808799762525	PF00670	S-adenosyl-L-homocysteinehydrolase,NADbindingdomain
Agenet	15	0.000494739272403443	PF05641	Agenetdomain
Ago_hook	5	0.000164913090801148	PF10427	Argonautehook
Agouti	5	0.000164913090801148	PF05039	Agoutiprotein
Aha1_N	1	3.29826181602296e-05	PF09229	ActivatorofHsp90ATPase,N-terminal
AhpC-TSA	6	0.000197895708961377	PF00578	AhpC/TSAfamily
AhpC-TSA_2	3	9.89478544806887e-05	PF13911	AhpC/TSAantioxidantenzyme
AlaDh_PNT_C	2	6.59652363204591e-05	PF01262	Alaninedehydrogenase/PNT,C-terminaldomain
AlaDh_PNT_N	3	9.89478544806887e-05	PF05222	Alaninedehydrogenase/PNT,N-terminaldomain
Ala_racemase_N	4	0.000131930472640918	PF01168	Alanineracemase,N-terminaldomain
Ald_Xan_dh_C	2	6.59652363204591e-05	PF01315	Aldehydeoxidaseandxanthinedehydrogenase,a/bhammerheaddomain
Ald_Xan_dh_C2	2	6.59652363204591e-05	PF02738	Molybdopterin-bindingdomainofaldehydedehydrogenase
Aldedh	23	0.00075860021768528	PF00171	Aldehydedehydrogenasefamily
Aldo_ket_red	8	0.000263860945281836	PF00248	Aldo/ketoreductasefamily
Aldolase_II	4	0.000131930472640918	PF00596	ClassIIAldolaseandAdducinN-terminaldomain
Alg14	6	0.000197895708961377	PF08660	OligosaccharidebiosynthesisproteinAlg14like
Alg6_Alg8	5	0.000164913090801148	PF03155	ALG6,ALG8glycosyltransferasefamily
Alpha-amylase	11	0.000362808799762525	PF00128	Alphaamylase,catalyticdomain
Alpha-amylase_C	6	0.000197895708961377	PF02806	Alphaamylase,C-terminalall-betadomain
Alpha-mann_mid	6	0.000197895708961377	PF09261	Alphamannosidasemiddledomain
Alpha_L_fucos	1	3.29826181602296e-05	PF01120	Alpha-L-fucosidase
Alpha_adaptinC2	11	0.000362808799762525	PF02883	AdaptinC-terminaldomain
Alpha_adaptin_C	3	9.89478544806887e-05	PF02296	AlphaadaptinAP2,C-terminaldomain
Alpha_kinase	5	0.000164913090801148	PF02816	Alpha-kinasefamily
Amidase	8	0.000263860945281836	PF01425	Amidase
Amidase_2	1	3.29826181602296e-05	PF01510	N-acetylmuramoyl-L-alanineamidase
Amidinotransf	4	0.000131930472640918	PF02274	Amidinotransferase
Amidohydro_1	11	0.000362808799762525	PF01979	Amidohydrolasefamily
Amidohydro_2	3	9.89478544806887e-05	PF04909	Amidohydrolase
Amino_oxidase	12	0.000395791417922755	PF01593	Flavincontainingamineoxidoreductase
Aminotran_1_2	14	0.000461756654243214	PF00155	AminotransferaseclassIandII
Aminotran_4	9	0.000296843563442066	PF01063	Amino-transferaseclassIV
Aminotran_5	5	0.000164913090801148	PF00266	Aminotransferaseclass-V
Ammonium_transp	5	0.000164913090801148	PF00909	AmmoniumTransporterFamily
An_peroxidase	7	0.000230878327121607	PF03098	Animalhaemperoxidase
Androgen_recep	1	3.29826181602296e-05	PF02166	Androgenreceptor
Angiomotin_C	5	0.000164913090801148	PF12240	AngiomotinCterminal
Anillin	5	0.000164913090801148	PF08174	Celldivisionproteinanillin
Anillin_N	4	0.000131930472640918	PF16018	AnillinN-terminus
Ank	63	0.00207790494409446	PF00023	Ankyrinrepeat
Ank_2	261	0.00860846333981992	PF12796	Ankyrinrepeats(3copies)
Ank_3	20	0.000659652363204591	PF13606	Ankyrinrepeat
Ank_4	51	0.00168211352617171	PF13637	Ankyrinrepeats(manycopies)
Ank_5	28	0.000923513308486428	PF13857	Ankyrinrepeats(manycopies)
Annexin	16	0.000527721890563673	PF00191	Annexin
Anoct_dimer	26	0.000857548072165968	PF16178	DimerisationdomainofCa+-activatedchloride-channel,anoctamin
Anoctamin	36	0.00118737425376826	PF04547	Calcium-activatedchloridechannel
Ant_C	1	3.29826181602296e-05	PF05586	AnthraxreceptorC-terminusregion
Anth_Ig	4	0.000131930472640918	PF05587	Anthraxreceptorextracellulardomain
Anticodon_1	4	0.000131930472640918	PF08264	Anticodon-bindingdomainoftRNA
Antistasin	4	0.000131930472640918	PF02822	Antistasinfamily
Aph-1	2	6.59652363204591e-05	PF06105	Aph-1protein
ApoA-II	1	3.29826181602296e-05	PF04711	ApolipoproteinA-II(ApoA-II)
ApoL	3	9.89478544806887e-05	PF05461	ApolipoproteinL
ApoM	1	3.29826181602296e-05	PF11032	ApoMdomain
ApoO	2	6.59652363204591e-05	PF09769	ApolipoproteinO
Apolipoprotein	1	3.29826181602296e-05	PF01442	ApolipoproteinA1/A4/Edomain
Apt1	1	3.29826181602296e-05	PF10351	Golgi-bodylocalisationproteindomain
Arb2	2	6.59652363204591e-05	PF09757	Arb2domain
Arf	30	0.000989478544806887	PF00025	ADP-ribosylationfactorfamily
ArfGap	41	0.00135228734456941	PF01412	PutativeGTPaseactivatingproteinforArf
Arfaptin	6	0.000197895708961377	PF06456	Arfaptin-likedomain
Arg_tRNA_synt_N	3	9.89478544806887e-05	PF03485	ArginyltRNAsynthetaseNterminaldomain
ArgoL1	7	0.000230878327121607	PF08699	Argonautelinker1domain
ArgoL2	3	9.89478544806887e-05	PF16488	Argonautelinker2domain
ArgoMid	3	9.89478544806887e-05	PF16487	Middomainofargonaute
ArgoN	7	0.000230878327121607	PF16486	N-terminaldomainofargonaute
Arm	45	0.00148421781721033	PF00514	Armadillo/beta-catenin-likerepeat
Arm_2	3	9.89478544806887e-05	PF04826	Armadillo-like
Arm_3	6	0.000197895708961377	PF16186	AtypicalArmrepeat
Armet	1	3.29826181602296e-05	PF10208	Degradationarginine-richproteinformis-folding
Arrestin_C	5	0.000164913090801148	PF02752	Arrestin(orS-antigen),C-terminaldomain
Arrestin_N	10	0.000329826181602296	PF00339	Arrestin(orS-antigen),N-terminaldomain
ArsA_ATPase	2	6.59652363204591e-05	PF02374	Anion-transportingATPase
Asp	8	0.000263860945281836	PF00026	Eukaryoticaspartylprotease
Asp-B-Hydro_N	8	0.000263860945281836	PF05279	Aspartylbeta-hydroxylaseN-terminalregion
Asp_Arg_Hydrox	4	0.000131930472640918	PF05118	Aspartyl/Asparaginylbeta-hydroxylase
Asparaginase_2	8	0.000263860945281836	PF01112	Asparaginase
Astacin	5	0.000164913090801148	PF01400	Astacin(PeptidasefamilyM12A)
Atg14	32	0.00105544378112735	PF10186	Vacuolarsorting38andautophagy-relatedsubunit14
Atg8	5	0.000164913090801148	PF02991	AutophagyproteinAtg8ubiquitinlike
Atrophin-1	3	9.89478544806887e-05	PF03154	Atrophin-1family
Atx10homo_assoc	9	0.000296843563442066	PF09759	Spinocerebellarataxiatype10proteindomain
Augurin	1	3.29826181602296e-05	PF15187	Oesophagealcancer-relatedgene4
Aurora-A_bind	10	0.000329826181602296	PF09041	Aurora-Abinding
Autophagy_act_C	2	6.59652363204591e-05	PF03987	Autophagocytosisassociatedprotein,active-sitedomain
Auts2	1	3.29826181602296e-05	PF15336	Autismsusceptibilitygene2protein
Avl9	3	9.89478544806887e-05	PF09794	TransportproteinAvl9
Ax_dynein_light	1	3.29826181602296e-05	PF10211	Axonemaldyneinlightchain
Axin_b-cat_bind	4	0.000131930472640918	PF08833	Axinbeta-cateninbindingdomain
B-block_TFIIIC	1	3.29826181602296e-05	PF04182	B-blockbindingsubunitofTFIIIC
B12-binding	2	6.59652363204591e-05	PF02310	B12bindingdomain
B12D	1	3.29826181602296e-05	PF06522	NADH-ubiquinonereductasecomplex1MLRQsubunit
B2-adapt-app_C	7	0.000230878327121607	PF09066	Beta2-adaptinappendage,C-terminalsub-domain
B56	15	0.000494739272403443	PF01603	Proteinphosphatase2AregulatoryBsubunit(B56family)
B9-C2	5	0.000164913090801148	PF07162	Ciliarybasalbody-associated,B9protein
BACK	51	0.00168211352617171	PF07707	BTBAndC-terminalKelch
BAF250_C	3	9.89478544806887e-05	PF12031	SWI/SNF-likecomplexsubunitBAF250/Osa
BAG	4	0.000131930472640918	PF02179	BAGdomain
BAG6	2	6.59652363204591e-05	PF12057	BCL2-associatedathanogene6
BAH	35	0.00115439163560803	PF01426	BAHdomain
BAR	30	0.000989478544806887	PF03114	BARdomain
BAR_3	52	0.00171509614433194	PF16746	BARdomainofAPPLfamily
BAR_3_WASP_bdg	6	0.000197895708961377	PF10456	WASP-bindingdomainofSortingnexinprotein
BASP1	1	3.29826181602296e-05	PF05466	Brainacidsolubleprotein1(BASP1protein)
BAT2_N	13	0.000428774036082984	PF07001	BAT2N-terminus
BBS1	2	6.59652363204591e-05	PF14779	CiliaryBBSomecomplexsubunit1
BBS2_C	1	3.29826181602296e-05	PF14782	CiliaryBBSomecomplexsubunit2,C-terminal
BBS2_Mid	2	6.59652363204591e-05	PF14783	CiliaryBBSomecomplexsubunit2,middleregion
BBS2_N	2	6.59652363204591e-05	PF14781	CiliaryBBSomecomplexsubunit2,N-terminal
BCAS2	2	6.59652363204591e-05	PF05700	Breastcarcinomaamplifiedsequence2(BCAS2)
BCAS3	14	0.000461756654243214	PF12490	Breastcarcinomaamplifiedsequence3
BCDHK_Adom3	5	0.000164913090801148	PF10436	Mitochondrialbranched-chainalpha-ketoaciddehydrogenasekinase
BCL9	2	6.59652363204591e-05	PF11502	B-celllymphoma9protein
BCLP	2	6.59652363204591e-05	PF12304	Beta-caseinlikeprotein
BCL_N	10	0.000329826181602296	PF04714	BCL7,N-terminalconserverregion
BCMA-Tall_bind	3	9.89478544806887e-05	PF09257	BCMA,TALL-1binding
