Pfam_name	Pfam_description	freq	freq1
C1_1	Phorbolesters/diacylglycerolbindingdomain(C1domain)	50	0.00247647350173353
Metallothio	Metallothionein	12	0.000594353640416047
Hexapep	Bacterialtransferasehexapeptide(sixrepeats)	5	0.000247647350173353
tRNA-synt_1	tRNAsynthetasesclassI(I,L,MandV)	6	0.000297176820208024
Cyclin_N	Cyclin,N-terminaldomain	32	0.00158494304110946
COesterase	Carboxylesterasefamily	14	0.000693412580485389
DNA_pol_B	DNApolymerasefamilyB	5	0.000247647350173353
ATP-synt_C	ATPsynthasesubunitC	5	0.000247647350173353
Interferon	Interferonalpha/betadomain	17	0.000842000990589401
Beta-lactamase	Beta-lactamase	2	9.90589400693413e-05
DNA_methylase	C-5cytosine-specificDNAmethylase	4	0.000198117880138683
Fibrinogen_C	Fibrinogenbetaandgammachains,C-terminalglobulardomain	24	0.00118870728083209
Metallophos	Calcineurin-likephosphoesterase	28	0.00138682516097078
Lipase	Lipase	10	0.000495294700346706
tRNA-synt_2	tRNAsynthetasesclassII(D,KandN)	5	0.000247647350173353
Mito_carr	Mitochondrialcarrierprotein	54	0.00267459138187221
Aminotran_1_2	AminotransferaseclassIandII	17	0.000842000990589401
Pribosyltran	Phosphoribosyltransferasedomain	5	0.000247647350173353
Pou	Poudomain-N-terminaltohomeoboxdomain	16	0.00079247152055473
Hormone_3	Pancreatichormonepeptide	3	0.000148588410104012
Pro_isomerase	Cyclophilintypepeptidyl-prolylcis-transisomerase/CLD	23	0.00113917781079742
PGK	Phosphoglyceratekinase	2	9.90589400693413e-05
Ribosomal_S4	RibosomalproteinS4/S9N-terminaldomain	2	9.90589400693413e-05
Ribosom_S12_S23	RibosomalproteinS12/S23	2	9.90589400693413e-05
Cpn10	Chaperonin10Kdsubunit	2	9.90589400693413e-05
FGF	Fibroblastgrowthfactor	22	0.00108964834076275
C2	C2domain	127	0.00629024269440317
PH	PHdomain	181	0.00896483407627538
bZIP_1	bZIPtranscriptionfactor	28	0.00138682516097078
Aldedh	Aldehydedehydrogenasefamily	20	0.000990589400693413
Cyt-b5	Cytochromeb5-likeHeme/Steroidbindingdomain	14	0.000693412580485389
Oxidored_molyb	Oxidoreductasemolybdopterinbindingdomain	1	4.95294700346706e-05
NAD_binding_1	OxidoreductaseNAD-bindingdomain	12	0.000594353640416047
SNF2_N	SNF2familyN-terminaldomain	34	0.0016840019811788
Ribosomal_S7	RibosomalproteinS7p/S5e	2	9.90589400693413e-05
Ets	Ets-domain	30	0.00148588410104012
UQ_con	Ubiquitin-conjugatingenzyme	41	0.0020307082714215
Iso_dh	Isocitrate/isopropylmalatedehydrogenase	5	0.000247647350173353
Ribosomal_L2	RibosomalProteinsL2,RNAbindingdomain	2	9.90589400693413e-05
HSP90	Hsp90protein	4	0.000198117880138683
Hormone_5	Neurohypophysialhormones,C-terminalDomain	2	9.90589400693413e-05
OTCace	Aspartate/ornithinecarbamoyltransferase,Asp/Ornbindingdomain	2	9.90589400693413e-05
DHFR_1	Dihydrofolatereductase	2	9.90589400693413e-05
CAP	Cysteine-richsecretoryproteinfamily	15	0.000742942050520059
Ribosomal_S3_C	RibosomalproteinS3,C-terminaldomain	1	4.95294700346706e-05
Annexin	Annexin	13	0.000643883110450718
Xlink	Extracellularlinkdomain	14	0.000693412580485389
Carb_anhydrase	Eukaryotic-typecarbonicanhydrase	17	0.000842000990589401
2-oxoacid_dh	2-oxoaciddehydrogenasesacyltransferase(catalyticdomain)	4	0.000198117880138683
Catalase	Catalase	1	4.95294700346706e-05
Disintegrin	Disintegrin	20	0.000990589400693413
UDPGT	UDP-glucoronosylandUDP-glucosyltransferase	22	0.00108964834076275
Aminotran_3	Aminotransferaseclass-III	5	0.000247647350173353
Ribosomal_S19	RibosomalproteinS19	1	4.95294700346706e-05
DNA_gyraseB	DNAgyraseB	2	9.90589400693413e-05
TPP_enzyme_M	Thiaminepyrophosphateenzyme,centraldomain	2	9.90589400693413e-05
Lyase_1	Lyase	5	0.000247647350173353
A2M	Alpha-2-macroglobulinfamily	11	0.000544824170381377
ELFV_dehydrog	Glutamate/Leucine/Phenylalanine/Valinedehydrogenase	2	9.90589400693413e-05
SNF	Sodium:neurotransmittersymporterfamily	19	0.000941059930658742
Ferritin	Ferritin-likedomain	4	0.000198117880138683
Guanylate_cyc	AdenylateandGuanylatecyclasecatalyticdomain	18	0.000891530460624071
ANP	Atrialnatriureticpeptide	3	0.000148588410104012
OSCP	ATPsynthasedelta(OSCP)subunit	2	9.90589400693413e-05
Calc_CGRP_IAPP	Calcitonin/CGRP/IAPPfamily	5	0.000247647350173353
OMPdecase	Orotidine5'-phosphatedecarboxylase/HUMPSfamily	1	4.95294700346706e-05
ATP-gua_Ptrans	ATP:guanidophosphotransferase,C-terminalcatalyticdomain	5	0.000247647350173353
IGFBP	Insulin-likegrowthfactorbindingprotein	20	0.000990589400693413
Hormone_4	Neurohypophysialhormones,N-terminalDomain	2	9.90589400693413e-05
Lyase_aromatic	Aromaticaminoacidlyase	1	4.95294700346706e-05
PK	Pyruvatekinase,barreldomain	2	9.90589400693413e-05
Kinesin	Kinesinmotordomain	44	0.00217929668152551
DnaJ	DnaJdomain	46	0.00227835562159485
Proteasome	Proteasomesubunit	22	0.00108964834076275
TNF	TNF(TumourNecrosisFactor)family	17	0.000842000990589401
MIP	Majorintrinsicprotein	16	0.00079247152055473
ATP-synt	ATPsynthase	1	4.95294700346706e-05
Glyco_hydro_1	Glycosylhydrolasefamily1	5	0.000247647350173353
PDEase_I	3'5'-cyclicnucleotidephosphodiesterase	21	0.00104011887072808
Profilin	Profilin	4	0.000198117880138683
Hormone_6	Glycoproteinhormone	1	4.95294700346706e-05
Ribosomal_L22	RibosomalproteinL22p/L17e	3	0.000148588410104012
Ribosomal_L14	RibosomalproteinL14p/L23e	2	9.90589400693413e-05
ubiquitin	Ubiquitinfamily	44	0.00217929668152551
Cofilin_ADF	Cofilin/tropomyosin-typeactin-bindingprotein	11	0.000544824170381377
NGF	Nervegrowthfactorfamily	4	0.000198117880138683
14-3-3	14-3-3protein	7	0.000346706290242694
Alk_phosphatase	Alkalinephosphatase	4	0.000198117880138683
Peptidase_M14	Zinccarboxypeptidase	23	0.00113917781079742
Aldo_ket_red	Aldo/ketoreductasefamily	17	0.000842000990589401
Myb_DNA-binding	Myb-likeDNA-bindingdomain	25	0.00123823675086677
Forkhead	Forkheaddomain	50	0.00247647350173353
Ribosomal_L16	RibosomalproteinL16p/L10e	3	0.000148588410104012
Ribosomal_S14	RibosomalproteinS14p/S29e	2	9.90589400693413e-05
FKBP_C	FKBP-typepeptidyl-prolylcis-transisomerase	17	0.000842000990589401
GSHPx	Glutathioneperoxidase	8	0.000396235760277365
Flavodoxin_1	Flavodoxin	8	0.000396235760277365
Protamine_P1	ProtamineP1	1	4.95294700346706e-05
Tropomyosin	Tropomyosin	4	0.000198117880138683
Calreticulin	Calreticulinfamily	4	0.000198117880138683
Tyrosinase	Commoncentraldomainoftyrosinase	3	0.000148588410104012
TK	Thymidinekinase	1	4.95294700346706e-05
Aminotran_5	Aminotransferaseclass-V	7	0.000346706290242694
Ribonuc_red_sm	Ribonucleotidereductase,smallchain	2	9.90589400693413e-05
DEAD	DEAD/DEAHboxhelicase	69	0.00341753343239227
Helicase_C	HelicaseconservedC-terminaldomain	109	0.0053987122337791
Serum_albumin	Serumalbuminfamily	4	0.000198117880138683
Glycolytic	Fructose-bisphosphatealdolaseclass-I	3	0.000148588410104012
Ribosomal_L23	RibosomalproteinL23	2	9.90589400693413e-05
SAA	SerumamyloidAprotein	4	0.000198117880138683
Orn_DAP_Arg_deC	Pyridoxal-dependentdecarboxylase,C-terminalsheetdomain	3	0.000148588410104012
Ribosomal_L5	RibosomalproteinL5	1	4.95294700346706e-05
Pyridoxal_deC	Pyridoxal-dependentdecarboxylaseconserveddomain	8	0.000396235760277365
Citrate_synt	Citratesynthase,C-terminaldomain	2	9.90589400693413e-05
Na_K-ATPase	Sodium/potassiumATPasebetachain	5	0.000247647350173353
GHMP_kinases_N	GHMPkinasesNterminaldomain	5	0.000247647350173353
Biotin_carb_N	Biotincarboxylase,N-terminaldomain	5	0.000247647350173353
PALP	Pyridoxal-phosphatedependentenzyme	7	0.000346706290242694
PAX	'Pairedbox'domain	9	0.000445765230312036
NUDIX	NUDIXdomain	22	0.00108964834076275
PfkB	pfkBfamilycarbohydratekinase	3	0.000148588410104012
Ribosomal_L3	RibosomalproteinL3	3	0.000148588410104012
Ribosomal_L11	RibosomalproteinL11,RNAbindingdomain	2	9.90589400693413e-05
His_Phos_1	Histidinephosphatasesuperfamily(branch1)	12	0.000594353640416047
Thymidylat_synt	Thymidylatesynthase	1	4.95294700346706e-05
Lipoxygenase	Lipoxygenase	6	0.000297176820208024
ATP-synt_ab_C	ATPsynthasealpha/betachain,Cterminaldomain	1	4.95294700346706e-05
CH	Calponinhomology(CH)domain	67	0.00331847449232293
Ribosomal_S15	RibosomalproteinS15	2	9.90589400693413e-05
CSD	'Cold-shock'DNA-bindingdomain	8	0.000396235760277365
FBPase	Fructose-1-6-bisphosphatase,N-terminaldomain	2	9.90589400693413e-05
Ribonuc_red_lgN	Ribonucleotidereductase,all-alphadomain	1	4.95294700346706e-05
Ribosomal_S2	RibosomalproteinS2	2	9.90589400693413e-05
SRF-TF	SRF-typetranscriptionfactor(DNA-bindinganddimerisationdomain)	5	0.000247647350173353
GATA	GATAzincfinger	14	0.000693412580485389
Endothelin	Endothelinfamily	3	0.000148588410104012
Defensin_1	Mammaliandefensin	6	0.000297176820208024
AA_permease	Aminoacidpermease	9	0.000445765230312036
Peptidase_S9	Prolyloligopeptidasefamily	9	0.000445765230312036
Ribosomal_L30	RibosomalproteinL30p/L7e	5	0.000247647350173353
His_Phos_2	Histidinephosphatasesuperfamily(branch2)	8	0.000396235760277365
Complex1_30kDa	Respiratory-chainNADHdehydrogenase,30Kdsubunit	1	4.95294700346706e-05
Aconitase	Aconitasefamily(aconitatehydratase)	3	0.000148588410104012
Ribosomal_S5	RibosomalproteinS5,N-terminaldomain	2	9.90589400693413e-05
NDK	Nucleosidediphosphatekinase	10	0.000495294700346706
Tetraspannin	Tetraspaninfamily	34	0.0016840019811788
Gal-bind_lectin	Galactoside-bindinglectin	17	0.000842000990589401
Ribosomal_S10	RibosomalproteinS10p/S20e	3	0.000148588410104012
Arrestin_N	Arrestin(orS-antigen),N-terminaldomain	10	0.000495294700346706
IL1	Interleukin-1/18	10	0.000495294700346706
PDGF	PDGF/VEGFdomain	9	0.000445765230312036
PGI	Phosphoglucoseisomerase	2	9.90589400693413e-05
Phosphorylase	Carbohydratephosphorylase	3	0.000148588410104012
SecY	SecYtranslocase	2	9.90589400693413e-05
Complex1_49kDa	Respiratory-chainNADHdehydrogenase,49Kdsubunit	1	4.95294700346706e-05
Ribosomal_L6	RibosomalproteinL6	1	4.95294700346706e-05
polyprenyl_synt	Polyprenylsynthetase	4	0.000198117880138683
Hexokinase_1	Hexokinase	5	0.000247647350173353
Dynamin_N	Dynaminfamily	15	0.000742942050520059
Biopterin_H	Biopterin-dependentaromaticaminoacidhydroxylase	4	0.000198117880138683
TBP	TranscriptionfactorTFIID(orTATA-bindingprotein,TBP)	3	0.000148588410104012
Pentaxin	Pentaxinfamily	11	0.000544824170381377
Rieske	Rieske[2Fe-2S]domain	3	0.000148588410104012
Integrin_alpha	Integrinalphacytoplasmicregion	9	0.000445765230312036
Integrin_beta	IntegrinbetachainVWAdomain	9	0.000445765230312036
Casein	Casein	1	4.95294700346706e-05
Biotin_lipoyl	Biotin-requiringenzyme	9	0.000445765230312036
PFK	Phosphofructokinase	3	0.000148588410104012
Ribosomal_S17	RibosomalproteinS17	3	0.000148588410104012
HMG-CoA_red	Hydroxymethylglutaryl-coenzymeAreductase	1	4.95294700346706e-05
FGGY_N	FGGYfamilyofcarbohydratekinases,N-terminaldomain	8	0.000396235760277365
FERM_M	FERMcentraldomain	47	0.00232788509162952
SDF	Sodium:dicarboxylatesymporterfamily	7	0.000346706290242694
Prion	Prion/Doppelalpha-helicaldomain	2	9.90589400693413e-05
ECH_1	Enoyl-CoAhydratase/isomerase	17	0.000842000990589401
Ribosomal_S9	RibosomalproteinS9/S16	2	9.90589400693413e-05
TFIIB	TranscriptionfactorTFIIBrepeat	2	9.90589400693413e-05
dCMP_cyt_deam_1	Cytidineanddeoxycytidylatedeaminasezinc-bindingregion	4	0.000198117880138683
Molybdopterin	Molybdopterinoxidoreductase	1	4.95294700346706e-05
Chromo	Chromo(CHRromatinOrganisationMOdifier)domain	26	0.00128776622090144
C1q	C1qdomain	32	0.00158494304110946
PI-PLC-Y	Phosphatidylinositol-specificphospholipaseC,Ydomain	15	0.000742942050520059
PI-PLC-X	Phosphatidylinositol-specificphospholipaseC,Xdomain	16	0.00079247152055473
2-Hacid_dh	D-isomerspecific2-hydroxyaciddehydrogenase,catalyticdomain	4	0.000198117880138683
malic	Malicenzyme,N-terminaldomain	3	0.000148588410104012
6PGD	6-phosphogluconatedehydrogenase,C-terminaldomain	1	4.95294700346706e-05
Cu-oxidase	Multicopperoxidase	2	9.90589400693413e-05
Granulin	Granulin	1	4.95294700346706e-05
WW	WWdomain	38	0.00188211986131748
RrnaAD	RibosomalRNAadeninedimethylase	3	0.000148588410104012
WD40	WDdomain,G-betarepeat	226	0.0111936602278356
Calponin	Calponinfamilyrepeat	6	0.000297176820208024
HMA	Heavy-metal-associateddomain	4	0.000198117880138683
Transferrin	Transferrin	3	0.000148588410104012
ADK	Adenylatekinase	10	0.000495294700346706
PGM_PMM_IV	Phosphoglucomutase/phosphomannomutase,C-terminaldomain	4	0.000198117880138683
Ribosomal_S8	RibosomalproteinS8	2	9.90589400693413e-05
Ribosomal_S11	RibosomalproteinS11	2	9.90589400693413e-05
LIM	LIMdomain	74	0.00366518078256563
Peptidase_M10	Matrixin	23	0.00113917781079742
MAP1B_neuraxin	NeuraxinandMAP1Brepeat	1	4.95294700346706e-05
RCC1	Regulatorofchromosomecondensation(RCC1)repeat	20	0.000990589400693413
Ribosomal_S13	RibosomalproteinS13/S18	1	4.95294700346706e-05
Tubulin-binding	TauandMAPprotein,tubulin-bindingrepeat	3	0.000148588410104012
Ribosomal_60s	60sAcidicribosomalprotein	3	0.000148588410104012
TLV_coat	ENVpolyprotein(coatpolyprotein)	4	0.000198117880138683
CUB	CUBdomain	48	0.00237741456166419
Prenyltrans	Prenyltransferaseandsqualeneoxidaserepeat	4	0.000198117880138683
Pkinase_C	ProteinkinaseCterminaldomain	30	0.00148588410104012
Spectrin	Spectrinrepeat	25	0.00123823675086677
SSB	Single-strandbindingproteinfamily	1	4.95294700346706e-05
S-AdoMet_synt_N	S-adenosylmethioninesynthetase,N-terminaldomain	2	9.90589400693413e-05
Bromodomain	Bromodomain	39	0.00193164933135215
Acyl-CoA_dh_1	Acyl-CoAdehydrogenase,C-terminaldomain	13	0.000643883110450718
UCH	Ubiquitincarboxyl-terminalhydrolase	79	0.00391282813273898
Ribosomal_L36	RibosomalproteinL36	1	4.95294700346706e-05
Ribonuclease_T2	RibonucleaseT2family	2	9.90589400693413e-05
GnRH	Gonadotropin-releasinghormone	2	9.90589400693413e-05
HSF_DNA-bind	HSF-typeDNA-binding	10	0.000495294700346706
SRP54	SRP54-typeprotein,GTPasedomain	2	9.90589400693413e-05
Peptidase_S10	Serinecarboxypeptidase	3	0.000148588410104012
Bcl-2	Apoptosisregulatorproteins,Bcl-2family	11	0.000544824170381377
Ribosomal_L20	RibosomalproteinL20	1	4.95294700346706e-05
PI3_PI4_kinase	Phosphatidylinositol3-and4-kinase	20	0.000990589400693413
Transketolase_N	Transketolase,thiaminediphosphatebindingdomain	3	0.000148588410104012
WHEP-TRS	WHEP-TRSdomain	5	0.000247647350173353
Inositol_P	Inositolmonophosphatasefamily	5	0.000247647350173353
Glutaredoxin	Glutaredoxin	7	0.000346706290242694
SHMT	Serinehydroxymethyltransferase	2	9.90589400693413e-05
Fe-ADH	Iron-containingalcoholdehydrogenase	1	4.95294700346706e-05
Ribosomal_L10	RibosomalproteinL10	3	0.000148588410104012
KOW	KOWmotif	10	0.000495294700346706
Ribosomal_L34	RibosomalproteinL34	1	4.95294700346706e-05
Ribosomal_L33	RibosomalproteinL33	1	4.95294700346706e-05
RF-1	RF-1domain	4	0.000198117880138683
CRF	Corticotropin-releasingfactorfamily	4	0.000198117880138683
SSF	Sodium:solutesymporterfamily	12	0.000594353640416047
DNA_pol_A	DNApolymerasefamilyA	3	0.000148588410104012
IMPDH	IMPdehydrogenase/GMPreductasedomain	4	0.000198117880138683
G6PD_N	Glucose-6-phosphatedehydrogenase,NADbindingdomain	2	9.90589400693413e-05
ROK	ROKfamily	1	4.95294700346706e-05
PP2C	Proteinphosphatase2C	20	0.000990589400693413
NTP_transferase	Nucleotidyltransferase	3	0.000148588410104012
PRK	Phosphoribulokinase/Uridinekinasefamily	3	0.000148588410104012
FA_desaturase	Fattyaciddesaturase	7	0.000346706290242694
MutS_V	MutSdomainV	6	0.000297176820208024
IL6	Interleukin-6/G-CSF/MGFfamily	1	4.95294700346706e-05
ALAD	Delta-aminolevulinicaciddehydratase	1	4.95294700346706e-05
Arginase	Arginasefamily	3	0.000148588410104012
MCM	MCMP-loopdomain	9	0.000445765230312036
SQS_PSY	Squalene/phytoenesynthase	2	9.90589400693413e-05
FHA	FHAdomain	30	0.00148588410104012
AMP-binding	AMP-bindingenzyme	31	0.00153541357107479
G-alpha	G-proteinalphasubunit	16	0.00079247152055473
HMG_box	HMG(highmobilitygroup)box	49	0.00242694403169886
Arm	Armadillo/beta-catenin-likerepeat	29	0.00143635463100545
TPR_1	Tetratricopeptiderepeat	20	0.000990589400693413
Ion_trans	Iontransportprotein	107	0.00529965329370976
DNA_topoisoIV	DNAgyrase/topoisomeraseIV,subunitA	2	9.90589400693413e-05
Crystallin	AlphacrystallinAchain,Nterminal	4	0.000198117880138683
SRCR	Scavengerreceptorcysteine-richdomain	19	0.000941059930658742
Death	Deathdomain	32	0.00158494304110946
BRCT	BRCA1CTerminus(BRCT)domain	11	0.000544824170381377
Glycos_transf_1	Glycosyltransferasesgroup1	6	0.000297176820208024
Glycos_transf_2	Glycosyltransferasefamily2	27	0.00133729569093611
SAM_1	SAMdomain(Sterilealphamotif)	62	0.00307082714214958
Linker_histone	linkerhistoneH1andH5family	12	0.000594353640416047
Ribosomal_L12	RibosomalproteinL7/L12C-terminaldomain	2	9.90589400693413e-05
Ligase_CoA	CoA-ligase	4	0.000198117880138683
PP-binding	Phosphopantetheineattachmentsite	5	0.000247647350173353
Formyl_trans_N	Formyltransferase	4	0.000198117880138683
RHD_DNA_bind	RelhomologyDNA-bindingdomain	10	0.000495294700346706
Peptidase_M24	MetallopeptidasefamilyM24	10	0.000495294700346706
LRR_1	LeucineRichRepeat	15	0.000742942050520059
Abhydrolase_1	alpha/betahydrolasefold	20	0.000990589400693413
RNA_pol_Rpb2_6	RNApolymeraseRpb2,domain6	3	0.000148588410104012
PB1	PB1domain	14	0.000693412580485389
SNase	Staphylococcalnucleasehomologue	1	4.95294700346706e-05
RabGAP-TBC	Rab-GTPase-TBCdomain	55	0.00272412085190688
TUDOR	Tudordomain	14	0.000693412580485389
WH1	WH1domain	11	0.000544824170381377
ZZ	Zincfinger,ZZtype	17	0.000842000990589401
HRDC	HRDCdomain	3	0.000148588410104012
CBS	CBSdomain	18	0.000891530460624071
Ribosomal_L13	RibosomalproteinL13	2	9.90589400693413e-05
Ribosomal_L4	RibosomalproteinL4/L1family	2	9.90589400693413e-05
CLP_protease	Clpprotease	1	4.95294700346706e-05
S1	S1RNAbindingdomain	8	0.000396235760277365
Transthyretin	HIUase/Transthyretinfamily	1	4.95294700346706e-05
AhpC-TSA	AhpC/TSAfamily	5	0.000247647350173353
tRNA-synt_1b	tRNAsynthetasesclassI(WandY)	4	0.000198117880138683
Rhodanese	Rhodanese-likedomain	24	0.00118870728083209
Acetyltransf_1	Acetyltransferase(GNAT)family	19	0.000941059930658742
SecE	SecE/Sec61-gammasubunitsofproteintranslocationcomplex	1	4.95294700346706e-05
AIRS	AIRsynthaserelatedprotein,N-terminaldomain	3	0.000148588410104012
tRNA-synt_2b	tRNAsynthetaseclassIIcoredomain(G,H,P,SandT)	9	0.000445765230312036
SpoU_methylase	SpoUrRNAMethylasefamily	3	0.000148588410104012
TP_methylase	Tetrapyrrole(Corrin/Porphyrin)Methylases	1	4.95294700346706e-05
