domain	absolute_number	freq	Pfam_id	Pfam_description.x	Pfam_description.y	normal_freq	binom.lower	fold_change	p_value
CoA_transf_3	38	0.00125333949008872	PF02515	CoA-transferasefamilyIII	CoA-transferasefamilyIII	9.90589400693413e-05	0.000530983393495665	12.6524621524456	1.0903943005355e-29
DCB	29	0.000956495926646657	PF16213	Dimerisationandcyclophilin-bindingdomainofMon2	Dimerisationandcyclophilin-bindingdomainofMon2	0.000198117880138683	0.000352073212273929	4.82791318974899	2.60370506294604e-12
DMAP_binding	40	0.00131930472640918	PF06464	DMAP1-bindingDomain	DMAP1-bindingDomain	0.000247647350173353	0.000572495017713281	5.32735248524027	1.54673525944752e-17
DUF2046	20	0.000659652363204591	PF09755	UncharacterizedconservedproteinH4(DUF2046)	UncharacterizedconservedproteinH4(DUF2046)	4.95294700346706e-05	0.000190883839978118	13.3183812131007	2.37489001312451e-17
DUF3583	18	0.000593687126884132	PF12126	Proteinofunknownfunction(DUF3583)	Proteinofunknownfunction(DUF3583)	4.95294700346706e-05	0.000158507086138293	11.9865430917906	4.46077954302852e-15
DUF3730	14	0.000461756654243214	PF12530	Proteinofunknownfunction(DUF3730)	Proteinofunknownfunction(DUF3730)	4.95294700346706e-05	9.90208761832978e-05	9.3228668491705	8.34301004027176e-11
DUF4502	20	0.000659652363204591	PF14950	Domainofunknownfunction(DUF4502)	Domainofunknownfunction(DUF4502)	4.95294700346706e-05	0.000190883839978118	13.3183812131007	2.37489001312451e-17
Dymeclin	11	0.000362808799762525	PF09742	Dyggve-Melchior-Clausensyndromeprotein	Dyggve-Melchior-Clausensyndromeprotein	4.95294700346706e-05	6.03695291918616e-05	7.32510966720538	6.89458952218303e-08
Dynamin_M	28	0.000923513308486428	PF01031	Dynamincentralregion	Dynamincentralregion	0.000297176820208024	0.000333140326563619	3.10762228305683	9.4950691442532e-08
Dynamin_N	66	0.00217685279857515	PF00350	Dynaminfamily	Dynaminfamily	0.000742942050520059	0.00115067806692626	2.93004386688215	2.77692612890874e-14
EF_TS	20	0.000659652363204591	PF00889	ElongationfactorTS	ElongationfactorTS	4.95294700346706e-05	0.000190883839978118	13.3183812131007	2.37489001312451e-17
Ephrin_rec_like	55	0.00181404399881263	PF07699	Putativeephrin-receptorlike	Putativeephrin-receptorlike	0.000544824170381377	0.000898727413136458	3.32959530327518	2.0750429218608e-14
Ets	142	0.0046835317787526	PF00178	Ets-domain	Ets-domain	0.00148588410104012	0.00304390374341135	3.1520168871005	2.64097630084744e-31
FHA	96	0.00316633134338204	PF00498	FHAdomain	FHAdomain	0.00148588410104012	0.00187332792323125	2.13094099409611	1.27523551469972e-11
Fmp27	11	0.000362808799762525	PF10344	MitochondrialproteinfromFMP27	MitochondrialproteinfromFMP27	4.95294700346706e-05	6.03695291918616e-05	7.32510966720538	6.89458952218303e-08
Furin-like	96	0.00316633134338204	PF00757	Furin-likecysteinerichregion	Furin-likecysteinerichregion	0.000346706290242694	0.00187332792323125	9.13260426041192	3.55134499356573e-58
GF_recep_IV	53	0.00174807876249217	PF14843	GrowthfactorreceptordomainIV	GrowthfactorreceptordomainIV	0.000297176820208024	0.000853935279979456	5.88228503578615	2.19893890780175e-24
GPS2_interact	24	0.000791582835845509	PF15784	G-proteinpathwaysuppressor2-interactingdomain	G-proteinpathwaysuppressor2-interactingdomain	9.90589400693413e-05	0.000259770423406636	7.99102872786041	3.12560176059634e-15
Glyco_hydro_47	35	0.00115439163560803	PF01532	Glycosylhydrolasefamily47	Glycosylhydrolasefamily47	0.000346706290242694	0.000469813620985526	3.32959530327516	6.07440011700426e-10
HS1_rep	20	0.000659652363204591	PF02218	RepeatinHS1/Cortactin	RepeatinHS1/Cortactin	9.90589400693413e-05	0.000190883839978118	6.65919060655034	1.19719881036815e-11
IBN_N	49	0.00161614828985125	PF03810	Importin-betaN-terminaldomain	Importin-betaN-terminaldomain	0.000742942050520059	0.0007654389769014	2.17533559813978	4.08086094259044e-07
IP_trans	26	0.000857548072165968	PF02121	Phosphatidylinositoltransferprotein	Phosphatidylinositoltransferprotein	0.000247647350173353	0.000295957673573488	3.46277911540618	2.97176964292919e-08
Ins134_P3_kin	12	0.000395791417922755	PF05770	Inositol1,3,4-trisphosphate5/6-kinaseATP-graspdomain	Inositol1,3,4-trisphosphate5/6-kinaseATP-graspdomain	4.95294700346706e-05	7.25722963266229e-05	7.99102872786043	7.88979324432491e-09
Ins145_P3_rec	34	0.0011214090174478	PF08709	Inositol1,4,5-trisphosphate/ryanodinereceptor	Inositol1,4,5-trisphosphate/ryanodinereceptor	0.000297176820208024	0.000449740298462675	3.77354134371184	4.04952771198645e-11
Integrin_beta	35	0.00115439163560803	PF00362	IntegrinbetachainVWAdomain	IntegrinbetachainVWAdomain	0.000445765230312036	0.000469813620985526	2.58968523588068	2.88280753383796e-07
JmjN	54	0.0017810613806524	PF02375	jmjNdomain	jmjNdomain	0.000544824170381377	0.000876288087998889	3.269057206852	7.09398082836983e-14
Jnk-SapK_ap_N	23	0.00075860021768528	PF09744	JNK_SAPK-associatedprotein-1	JNK_SAPK-associatedprotein-1	0.000198117880138683	0.000242086371703309	3.82903459876644	2.52031366274496e-08
KH_1	96	0.00316633134338204	PF00013	KHdomain	KHdomain	0.00178306092124814	0.00187332792323125	1.77578416174676	9.05827852914035e-08
KIX	20	0.000659652363204591	PF02172	KIXdomain	KIXdomain	9.90589400693413e-05	0.000190883839978118	6.65919060655034	1.19719881036815e-11
L27_1	17	0.000560704508723902	PF09058	L27_1	L27_1	9.90589400693413e-05	0.000142925217368584	5.66031201556779	3.62020273573939e-09
L27_2	15	0.000494739272403443	PF09045	L27_2	L27_2	9.90589400693413e-05	0.000113141558630514	4.99439295491276	1.25603920127222e-07
LUC7	25	0.000824565454005739	PF03194	LUC7N_terminus	LUC7N_terminus	0.000198117880138683	0.000277732700200151	4.16199412909396	1.36647249541476e-09
Laminin_N	58	0.00191299185329331	PF00055	LamininN-terminal(DomainVI)	LamininN-terminal(DomainVI)	0.00079247152055473	0.000966542034950724	2.4139565948745	1.24427918618807e-09
Ldl_recept_b	56	0.00184702661697286	PF00058	Low-densitylipoproteinreceptorrepeatclassB	Low-densitylipoproteinreceptorrepeatclassB	0.000693412580485389	0.000921250960560061	2.66367624262015	6.92124915165811e-11
MAD	19	0.000626669745044362	PF05557	Mitoticcheckpointprotein	Mitoticcheckpointprotein	4.95294700346706e-05	0.00017450310135414	12.6524621524457	3.33466068578969e-16
MAM	59	0.00194597447145354	PF00629	MAMdomain,meprin/A5/mu	MAMdomain,meprin/A5/mu	0.000891530460624071	0.000989305446906563	2.18273469881372	3.11990132781779e-08
MH1	83	0.00273755730729905	PF03165	MH1domain	MH1domain	0.000594353640416047	0.00155492297418924	4.60594016953066	1.62033947886003e-29
MamL-1	20	0.000659652363204591	PF09596	MamL-1domain	MamL-1domain	0.000148588410104012	0.000190883839978118	4.43946040436689	1.44307704646161e-08
Med1	17	0.000560704508723902	PF10744	MediatorofRNApolymeraseIItranscriptionsubunit1	MediatorofRNApolymeraseIItranscriptionsubunit1	4.95294700346706e-05	0.000142925217368584	11.3206240311356	5.67098902317052e-14
Med13_N	33	0.00108842639928758	PF11597	Mediatorcomplexsubunit13N-terminal	Mediatorcomplexsubunit13N-terminal	9.90589400693413e-05	0.000429836451876664	10.9876645008081	3.13585758670143e-24
Med15	14	0.000461756654243214	PF09606	ARC105orMed15subunitofMediatorcomplexnon-fungal	ARC105orMed15subunitofMediatorcomplexnon-fungal	4.95294700346706e-05	9.90208761832978e-05	9.3228668491705	8.34301004027176e-11
Med24_N	17	0.000560704508723902	PF11277	Mediatorcomplexsubunit24N-terminal	Mediatorcomplexsubunit24N-terminal	4.95294700346706e-05	0.000142925217368584	11.3206240311356	5.67098902317052e-14
Myosin_head	117	0.00385896632474686	PF00063	Myosinhead(motordomain)	Myosinhead(motordomain)	0.00193164933135215	0.00240049853199265	1.99775718196511	5.52293835725858e-12
Myosin_tail_1	56	0.00184702661697286	PF01576	Myosintail	Myosintail	0.000891530460624071	0.000921250960560061	2.07174818870456	3.38513064210952e-07
NHR2	31	0.00102246116296712	PF08788	NHR2domainlike	NHR2domainlike	0.000148588410104012	0.000390567477880577	6.88116362676871	3.9800305558983e-17
NOPS	18	0.000593687126884132	PF08075	NOPS(NUC059)domain	NOPS(NUC059)domain	0.000148588410104012	0.000158507086138293	3.9955143639302	3.06510120016818e-07
NT-C2	21	0.000692634981364821	PF10358	N-terminalC2inEEIG1andEHBP1proteins	N-terminalC2inEEIG1andEHBP1proteins	0.000198117880138683	0.000207623144152236	3.49607506843893	3.96428520539686e-07
NfI_DNAbd_pre-N	45	0.00148421781721033	PF10524	NuclearfactorIproteinpre-N-terminus	NuclearfactorIproteinpre-N-terminus	0.000198117880138683	0.000678541316027292	7.49158943236912	3.28161716430179e-25
Nup84_Nup100	24	0.000791582835845509	PF04121	Nuclearporeprotein84/107	Nuclearporeprotein84/107	4.95294700346706e-05	0.000259770423406636	15.9820574557208	3.92305994344625e-22
Oest_recep	22	0.00072561759952505	PF02159	Oestrogenreceptor	Oestrogenreceptor	4.95294700346706e-05	0.000224697645267335	14.6502193344108	1.05064761204009e-19
PHD	127	0.00418879250634915	PF00628	PHD-finger	PHD-finger	0.00262506191183754	0.00265605363157928	1.5956928434564	3.54697719112832e-07
PH_RBD	20	0.000659652363204591	PF12068	Rab-bindingdomain(RBD)	Rab-bindingdomain(RBD)	9.90589400693413e-05	0.000190883839978118	6.65919060655034	1.19719881036815e-11
PPARgamma_N	13	0.000428774036082984	PF12577	PPARgammaN-terminalregion	PPARgammaN-terminalregion	4.95294700346706e-05	8.54785404650338e-05	8.65694778851545	8.39391530397434e-10
PSI_integrin	40	0.00131930472640918	PF17205	Integrinplexindomain	Integrinplexindomain	0.000495294700346706	0.000572495017713281	2.66367624262014	2.38798816383558e-08
PWWP	85	0.00280352254361951	PF00855	PWWPdomain	PWWPdomain	0.00113917781079742	0.00160344375288202	2.46100522415992	1.28478209436967e-13
Par3_HAL_N_term	29	0.000956495926646657	PF12053	N-terminalofPar3andHALproteins	N-terminalofPar3andHALproteins	9.90589400693413e-05	0.000352073212273929	9.655826379498	4.3581663834869e-20
Peptidase_S9_N	15	0.000494739272403443	PF02897	Prolyloligopeptidase,N-terminalbeta-propellerdomain	Prolyloligopeptidase,N-terminalbeta-propellerdomain	9.90589400693413e-05	0.000113141558630514	4.99439295491276	1.25603920127222e-07
Per1	23	0.00075860021768528	PF04080	Per1-likefamily	Per1-likefamily	4.95294700346706e-05	0.000242086371703309	15.3161383950658	6.5519011691435e-21
PhoLip_ATPase_N	52	0.00171509614433194	PF16209	Phospholipid-translocatingATPaseN-terminal	Phospholipid-translocatingATPaseN-terminal	0.000693412580485389	0.000831671389926569	2.47341365386156	3.51584094937068e-09
Pkinase	702	0.0231537979484812	PF00069	Proteinkinasedomain	Proteinkinasedomain	0.0177810797424468	0.0188801410346944	1.30215927738115	5.4722948339931e-12
Pkinase_Tyr	346	0.0114119858834394	PF07714	Proteintyrosinekinase	Proteintyrosinekinase	0.00633977216443784	0.00861690508237112	1.80006246083314	5.09286500989533e-24
RBD	33	0.00108842639928758	PF02196	Raf-likeRas-bindingdomain	Raf-likeRas-bindingdomain	0.000297176820208024	0.000429836451876664	3.6625548336027	1.58902636345286e-10
Recep_L_domain	104	0.00343019228866387	PF01030	ReceptorLdomain	ReceptorLdomain	0.000346706290242694	0.00207247732129778	9.89365461544623	4.55748638230164e-66
Rib_recp_KP_reg	11	0.000362808799762525	PF05104	Ribosomereceptorlysine/prolinerichregion	Ribosomereceptorlysine/prolinerichregion	4.95294700346706e-05	6.03695291918616e-05	7.32510966720538	6.89458952218303e-08
Ribosomal_S16	14	0.000461756654243214	PF00886	RibosomalproteinS16	RibosomalproteinS16	4.95294700346706e-05	9.90208761832978e-05	9.3228668491705	8.34301004027176e-11
Ribosomal_S19e	16	0.000527721890563673	PF01090	RibosomalproteinS19e	RibosomalproteinS19e	4.95294700346706e-05	0.000127790764585245	10.6547049704806	6.83316428496062e-13
Runt	41	0.00135228734456941	PF00853	Runtdomain	Runtdomain	0.000148588410104012	0.000593454344376632	9.10089382895212	2.4506949655729e-26
SAPS	22	0.00072561759952505	PF04499	SIT4phosphatase-associatedprotein	SIT4phosphatase-associatedprotein	0.000148588410104012	0.000224697645267335	4.88340644480358	5.6641173622211e-10
SM-ATX	15	0.000494739272403443	PF14438	Ataxin2SMdomain	Ataxin2SMdomain	9.90589400693413e-05	0.000113141558630514	4.99439295491276	1.25603920127222e-07
SNARE_assoc	33	0.00108842639928758	PF09335	SNAREassociatedGolgiprotein	SNAREassociatedGolgiprotein	0.000198117880138683	0.000429836451876664	5.49383225040405	2.95573315417736e-15
SNase	14	0.000461756654243214	PF00565	Staphylococcalnucleasehomologue	Staphylococcalnucleasehomologue	4.95294700346706e-05	9.90208761832978e-05	9.3228668491705	8.34301004027176e-11
SPX	22	0.00072561759952505	PF03105	SPXdomain	SPXdomain	4.95294700346706e-05	0.000224697645267335	14.6502193344108	1.05064761204009e-19
ST7	28	0.000923513308486428	PF04184	ST7protein	ST7protein	9.90589400693413e-05	0.000333140326563619	9.32286684917049	4.37248283672581e-19
STPPase_N	19	0.000626669745044362	PF16891	Serine-threonineproteinphosphataseN-terminaldomain	Serine-threonineproteinphosphataseN-terminaldomain	0.000148588410104012	0.00017450310135414	4.21748738414855	6.81061967833433e-08
SWIB	35	0.00115439163560803	PF02201	SWIB/MDM2domain	SWIB/MDM2domain	0.000247647350173353	0.000469813620985526	4.66143342458523	6.03211268605987e-14
SWIRM	24	0.000791582835845509	PF04433	SWIRMdomain	SWIRMdomain	0.000247647350173353	0.000259770423406636	3.19641149114417	3.80723444106986e-07
SWIRM-assoc_2	32	0.00105544378112735	PF16496	SWIRM-associateddomainattheN-terminal	SWIRM-associateddomainattheN-terminal	9.90589400693413e-05	0.00041010951496312	10.6547049704806	3.5632581865025e-23
SWIRM-assoc_3	22	0.00072561759952505	PF16498	SWIRM-associateddomainattheC-terminal	SWIRM-associateddomainattheC-terminal	9.90589400693413e-05	0.000224697645267335	7.32510966720538	2.10440686003334e-13
Spectrin	118	0.00389194894290709	PF00435	Spectrinrepeat	Spectrinrepeat	0.00123823675086677	0.00242593507294653	3.14313796629176	2.70450993632268e-26
Striatin	20	0.000659652363204591	PF08232	Striatinfamily	Striatinfamily	0.000148588410104012	0.000190883839978118	4.43946040436689	1.44307704646161e-08
TACC	44	0.0014512351990501	PF12709	FungalTransformingacidiccoiled-coil(TACC)proteins	Transformingacidiccoiled-coil-containingprotein(TACC),C-terminal	0.000148588410104012	0.000657090530934545	9.76681288960716	2.60209460072054e-29
TACC	44	0.0014512351990501	PF05010	Transformingacidiccoiled-coil-containingprotein(TACC),C-terminal	Transformingacidiccoiled-coil-containingprotein(TACC),C-terminal	0.000148588410104012	0.000657090530934545	9.76681288960716	2.60209460072054e-29
TAFH	38	0.00125333949008872	PF07531	NHR1homologytoTAF	NHR1homologytoTAF	0.000247647350173353	0.000530983393495665	5.06098486097825	4.55773858430641e-16
TMEM117	13	0.000428774036082984	PF15113	TMEM117proteinfamily	TMEM117proteinfamily	4.95294700346706e-05	8.54785404650338e-05	8.65694778851545	8.39391530397434e-10
TMEM135_C_rich	21	0.000692634981364821	PF15982	N-terminalcysteine-richregionofTransmembraneprotein135	N-terminalcysteine-richregionofTransmembraneprotein135	4.95294700346706e-05	0.000207623144152236	13.9843002737557	1.61492220644975e-18
TMPIT	22	0.00072561759952505	PF07851	TMPIT-likeprotein	TMPIT-likeprotein	9.90589400693413e-05	0.000224697645267335	7.32510966720538	2.10440686003334e-13
TRAPPC9-Trs120	12	0.000395791417922755	PF08626	TransportproteinTrs120orTRAPPC9,TRAPPIIcomplexsubunit	TransportproteinTrs120orTRAPPC9,TRAPPIIcomplexsubunit	4.95294700346706e-05	7.25722963266229e-05	7.99102872786043	7.88979324432491e-09
ThiF	41	0.00135228734456941	PF00899	ThiFfamily	ThiFfamily	0.000495294700346706	0.000593454344376632	2.73026814868564	8.42677505246431e-09
Thyroglobulin_1	63	0.00207790494409446	PF00086	Thyroglobulintype-1repeat	Thyroglobulintype-1repeat	0.000842000990589401	0.00108110075780576	2.46781769536865	1.15586835953557e-10
Tubulin-binding	19	0.000626669745044362	PF00418	TauandMAPprotein,tubulin-bindingrepeat	TauandMAPprotein,tubulin-bindingrepeat	0.000148588410104012	0.00017450310135414	4.21748738414855	6.81061967833433e-08
Tweety	21	0.000692634981364821	PF04906	Tweety	Tweety	0.000148588410104012	0.000207623144152236	4.66143342458524	2.9218662757031e-09
UPF0004	33	0.00108842639928758	PF00919	UncharacterizedproteinfamilyUPF0004	UncharacterizedproteinfamilyUPF0004	9.90589400693413e-05	0.000429836451876664	10.9876645008081	3.13585758670143e-24
VGLL4	11	0.000362808799762525	PF15245	Transcriptioncofactorvestigial-likeprotein4	Transcriptioncofactorvestigial-likeprotein4	4.95294700346706e-05	6.03695291918616e-05	7.32510966720538	6.89458952218303e-08
VHS	36	0.00118737425376826	PF00790	VHSdomain	VHSdomain	0.000445765230312036	0.000490049489659694	2.66367624262013	1.03736719005595e-07
Vinculin	40	0.00131930472640918	PF01044	Vinculinfamily	Vinculinfamily	0.000247647350173353	0.000572495017713281	5.32735248524027	1.54673525944752e-17
Vps53_N	13	0.000428774036082984	PF04100	Vps53-like,N-terminal	Vps53-like,N-terminal	4.95294700346706e-05	8.54785404650338e-05	8.65694778851545	8.39391530397434e-10
WHIM1	28	0.000923513308486428	PF15612	WSTF,HB1,Itc1p,MBD9motif1	WSTF,HB1,Itc1p,MBD9motif1	0.000247647350173353	0.000333140326563619	3.7291467396682	2.01332247045268e-09
WW	100	0.00329826181602296	PF00397	WWdomain	WWdomain	0.00188211986131748	0.00197262332390813	1.75241858067115	9.36451749861007e-08
YEATS	46	0.00151720043537056	PF03366	YEATSfamily	YEATSfamily	0.000198117880138683	0.000700105022409803	7.65806919753288	4.17584217630471e-26
empty	13309	0.438965665094495	NA	NA	NA	0.0780584447746409	0.412057534782943	5.62355125523976	0
zf-CXXC	44	0.0014512351990501	PF02008	CXXCzincfingerdomain	CXXCzincfingerdomain	0.000594353640416047	0.000657090530934545	2.4417032224018	6.49380976269594e-08
zf-TAZ	21	0.000692634981364821	PF02135	TAZzincfinger	TAZzincfinger	9.90589400693413e-05	0.000207623144152236	6.99215013687787	1.62248257619779e-12
