domain_pair	domain_1	domain_2	domain_desc_1	domain_desc_2	absolute_number	freq
AAA_8--AAA_9	AAA_8	AAA_9	P-loopcontainingdyneinmotorregionD4	ATP-bindingdyneinmotorregion	15	0.000742317018854852
AAA_9--AAA_9	AAA_9	AAA_9	ATP-bindingdyneinmotorregion	ATP-bindingdyneinmotorregion	1	4.94878012569901e-05
AAA--AAA_assoc_2	AAA	AAA_assoc_2	ATPasefamilyassociatedwithvariouscellularactivities(AAA)	AAAC-terminaldomain	1	4.94878012569901e-05
AA_permease--AA_permease	AA_permease	AA_permease	Aminoacidpermease	Aminoacidpermease	4	0.000197951205027961
AA_permease_2--AA_permease_2	AA_permease_2	AA_permease_2	Aminoacidpermease	Aminoacidpermease	1	4.94878012569901e-05
AA_permease_2--AA_permease_C	AA_permease_2	AA_permease_C	Aminoacidpermease	C-terminusofAA_permease	5	0.000247439006284951
AA_permease--AA_permease_N	AA_permease	AA_permease_N	Aminoacidpermease	AminoacidpermeaseN-terminal	3	0.00014846340377097
ABC_tran--ABC2_membrane	ABC_tran	ABC2_membrane	ABCtransporter	ABC-2typetransporter	5	0.000247439006284951
ABC2_membrane_3--ABC2_membrane_3	ABC2_membrane_3	ABC2_membrane_3	ABC-2familytransporterprotein	ABC-2familytransporterprotein	12	0.000593853615083882
ABC_tran--ABC2_membrane_3	ABC_tran	ABC2_membrane_3	ABCtransporter	ABC-2familytransporterprotein	12	0.000593853615083882
ABC_membrane--ABC_membrane	ABC_membrane	ABC_membrane	ABCtransportertransmembraneregion	ABCtransportertransmembraneregion	16	0.000791804820111842
ABC_membrane--ABC_tran	ABC_membrane	ABC_tran	ABCtransportertransmembraneregion	ABCtransporter	24	0.00118770723016776
ABC_membrane_2--ABC_tran	ABC_membrane_2	ABC_tran	ABCtransportertransmembraneregion2	ABCtransporter	4	0.000197951205027961
ABC_tran--ABC_tran	ABC_tran	ABC_tran	ABCtransporter	ABCtransporter	32	0.00158360964022368
ABC_tran--ABC_tran_Xtn	ABC_tran	ABC_tran_Xtn	ABCtransporter	ABCtransporter	3	0.00014846340377097
ACTH_domain--ACTH_domain	ACTH_domain	ACTH_domain	CorticotropinACTHdomain	CorticotropinACTHdomain	1	4.94878012569901e-05
Actin--ACTL7A_N	Actin	ACTL7A_N	Actin	Actin-likeprotein7AN-terminus	1	4.94878012569901e-05
ACT_7--ACT_7	ACT_7	ACT_7	ACTdomain	ACTdomain	3	0.00014846340377097
ADH_N--ADH_zinc_N	ADH_N	ADH_zinc_N	AlcoholdehydrogenaseGroES-likedomain	Zinc-bindingdehydrogenase	13	0.000643341416340872
ADH_N_2--ADH_zinc_N	ADH_N_2	ADH_zinc_N	N-terminaldomainofoxidoreductase	Zinc-bindingdehydrogenase	2	9.89756025139803e-05
Acyl_transf_1--ADH_zinc_N	Acyl_transf_1	ADH_zinc_N	Acyltransferasedomain	Zinc-bindingdehydrogenase	1	4.94878012569901e-05
ADH_N--ADH_zinc_N_2	ADH_N	ADH_zinc_N_2	AlcoholdehydrogenaseGroES-likedomain	Zinc-bindingdehydrogenase	3	0.00014846340377097
ADH_zinc_N--ADH_zinc_N_2	ADH_zinc_N	ADH_zinc_N_2	Zinc-bindingdehydrogenase	Zinc-bindingdehydrogenase	1	4.94878012569901e-05
ADK--ADK	ADK	ADK	Adenylatekinase	Adenylatekinase	4	0.000197951205027961
ADK--ADK_lid	ADK	ADK_lid	Adenylatekinase	Adenylatekinase,activesitelid	3	0.00014846340377097
AF-4--AF-4	AF-4	AF-4	AF-4proto-oncoprotein	AF-4proto-oncoprotein	4	0.000197951205027961
Aha1_N--AHSA1	Aha1_N	AHSA1	ActivatorofHsp90ATPase,N-terminal	ActivatorofHsp90ATPasehomolog1-likeprotein	1	4.94878012569901e-05
AIF-MLS--AIF_C	AIF-MLS	AIF_C	MitochondriaLocalisationSequence	Apoptosis-inducingfactor,mitochondrion-associated,C-term	1	4.94878012569901e-05
AIG1--AIG1	AIG1	AIG1	AIG1family	AIG1family	2	9.89756025139803e-05
AIP3--AIP3	AIP3	AIP3	Actininteractingprotein3	Actininteractingprotein3	1	4.94878012569901e-05
AIRS--AIRS_C	AIRS	AIRS_C	AIRsynthaserelatedprotein,N-terminaldomain	AIRsynthaserelatedprotein,C-terminaldomain	3	0.00014846340377097
AIRS_C--AIRS_C	AIRS_C	AIRS_C	AIRsynthaserelatedprotein,C-terminaldomain	AIRsynthaserelatedprotein,C-terminaldomain	1	4.94878012569901e-05
AKAP2_C--AKAP2_C	AKAP2_C	AKAP2_C	A-kinaseanchorprotein2C-terminus	A-kinaseanchorprotein2C-terminus	1	4.94878012569901e-05
AKAP7_NLS--AKAP7_RIRII_bdg	AKAP7_NLS	AKAP7_RIRII_bdg	AKAP72'5'RNAligase-likedomain	PKA-RI-RIIsubunitbindingdomainofA-kinaseanchorprotein	1	4.94878012569901e-05
AKAP_110--AKAP_110	AKAP_110	AKAP_110	A-kinaseanchorprotein110kDa(AKAP110)	A-kinaseanchorprotein110kDa(AKAP110)	1	4.94878012569901e-05
ACAS_N--AMP-binding	ACAS_N	AMP-binding	Acetyl-coenzymeAsynthetaseN-terminus	AMP-bindingenzyme	4	0.000197951205027961
AMP-binding--AMP-binding	AMP-binding	AMP-binding	AMP-bindingenzyme	AMP-bindingenzyme	5	0.000247439006284951
ACAS_N--AMP-binding_C	ACAS_N	AMP-binding_C	Acetyl-coenzymeAsynthetaseN-terminus	AMP-bindingenzymeC-terminaldomain	3	0.00014846340377097
AMP-binding--AMP-binding_C	AMP-binding	AMP-binding_C	AMP-bindingenzyme	AMP-bindingenzymeC-terminaldomain	18	0.000890780422625823
AMPK1_CBM--AMPKBI	AMPK1_CBM	AMPKBI	GlycogenrecognitionsiteofAMP-activatedproteinkinase	5'-AMP-activatedproteinkinasebetasubunit,interactiondomain	2	9.89756025139803e-05
ANAPC4--ANAPC4_WD40	ANAPC4	ANAPC4_WD40	Anaphase-promotingcomplex,cyclosome,subunit4	Anaphase-promotingcomplexsubunit4WD40domain	1	4.94878012569901e-05
ANAPC4_WD40--ANAPC4_WD40	ANAPC4_WD40	ANAPC4_WD40	Anaphase-promotingcomplexsubunit4WD40domain	Anaphase-promotingcomplexsubunit4WD40domain	2	9.89756025139803e-05
ANAPC5--ANAPC5	ANAPC5	ANAPC5	Anaphase-promotingcomplexsubunit5	Anaphase-promotingcomplexsubunit5	1	4.94878012569901e-05
A2M--ANATO	A2M	ANATO	Alpha-2-macroglobulinfamily	Anaphylotoxin-likedomain	4	0.000197951205027961
A2M_N--ANATO	A2M_N	ANATO	MG2domain	Anaphylotoxin-likedomain	4	0.000197951205027961
A2M_N_2--ANATO	A2M_N_2	ANATO	Alpha-2-macroglobulinbaitregiondomain	Anaphylotoxin-likedomain	4	0.000197951205027961
A2M_comp--ANATO	A2M_comp	ANATO	A-macroglobulinTEDdomain	Anaphylotoxin-likedomain	4	0.000197951205027961
A2M_recep--ANATO	A2M_recep	ANATO	A-macroglobulinreceptorbindingdomain	Anaphylotoxin-likedomain	4	0.000197951205027961
7tm_3--ANF_receptor	7tm_3	ANF_receptor	7transmembranesweet-tastereceptorof3GCPR	Receptorfamilyligandbindingregion	15	0.000742317018854852
AP1AR--AP1AR	AP1AR	AP1AR	AP-1complex-associatedregulatoryprotein	AP-1complex-associatedregulatoryprotein	1	4.94878012569901e-05
Adaptin_N--AP3B1_C	Adaptin_N	AP3B1_C	AdaptinNterminalregion	Clathrin-adaptorcomplex-3beta-1subunitC-terminal	2	9.89756025139803e-05
Adaptin_N--AP3D1	Adaptin_N	AP3D1	AdaptinNterminalregion	AP-3complexsubunitdelta-1	1	4.94878012569901e-05
Adaptin_N--AP4E_app_platf	Adaptin_N	AP4E_app_platf	AdaptinNterminalregion	AdaptinAP4complexepsilonappendageplatform	1	4.94878012569901e-05
APCDDC--APCDDC	APCDDC	APCDDC	Adenomatosispolyposiscolidown-regulated1	Adenomatosispolyposiscolidown-regulated1	2	9.89756025139803e-05
APC_15aa--APC_15aa	APC_15aa	APC_15aa	APC15residuemotif	APC15residuemotif	1	4.94878012569901e-05
APC_15aa--APC_N_CC	APC_15aa	APC_N_CC	APC15residuemotif	Coiled-coilN-terminusofAPC,dimerisationdomain	1	4.94878012569901e-05
APC_basic--APC_N_CC	APC_basic	APC_N_CC	APCbasicdomain	Coiled-coilN-terminusofAPC,dimerisationdomain	2	9.89756025139803e-05
APC_15aa--APC_basic	APC_15aa	APC_basic	APC15residuemotif	APCbasicdomain	1	4.94878012569901e-05
APC_15aa--APC_r	APC_15aa	APC_r	APC15residuemotif	APCrepeat	1	4.94878012569901e-05
APC_N_CC--APC_r	APC_N_CC	APC_r	Coiled-coilN-terminusofAPC,dimerisationdomain	APCrepeat	2	9.89756025139803e-05
APC_basic--APC_r	APC_basic	APC_r	APCbasicdomain	APCrepeat	2	9.89756025139803e-05
APC_r--APC_r	APC_r	APC_r	APCrepeat	APCrepeat	2	9.89756025139803e-05
APC_15aa--APC_u13	APC_15aa	APC_u13	APC15residuemotif	UnstructuredregiononAPCbetweenAPC_crrandSAMP	1	4.94878012569901e-05
APC_N_CC--APC_u13	APC_N_CC	APC_u13	Coiled-coilN-terminusofAPC,dimerisationdomain	UnstructuredregiononAPCbetweenAPC_crrandSAMP	1	4.94878012569901e-05
APC_basic--APC_u13	APC_basic	APC_u13	APCbasicdomain	UnstructuredregiononAPCbetweenAPC_crrandSAMP	1	4.94878012569901e-05
APC_r--APC_u13	APC_r	APC_u13	APCrepeat	UnstructuredregiononAPCbetweenAPC_crrandSAMP	1	4.94878012569901e-05
APC_15aa--APC_u14	APC_15aa	APC_u14	APC15residuemotif	UnstructuredregiononAPCbetweenSAMPandAPC_crr	1	4.94878012569901e-05
APC_N_CC--APC_u14	APC_N_CC	APC_u14	Coiled-coilN-terminusofAPC,dimerisationdomain	UnstructuredregiononAPCbetweenSAMPandAPC_crr	1	4.94878012569901e-05
APC_basic--APC_u14	APC_basic	APC_u14	APCbasicdomain	UnstructuredregiononAPCbetweenSAMPandAPC_crr	1	4.94878012569901e-05
APC_r--APC_u14	APC_r	APC_u14	APCrepeat	UnstructuredregiononAPCbetweenSAMPandAPC_crr	1	4.94878012569901e-05
APC_u13--APC_u14	APC_u13	APC_u14	UnstructuredregiononAPCbetweenAPC_crrandSAMP	UnstructuredregiononAPCbetweenSAMPandAPC_crr	1	4.94878012569901e-05
APC_15aa--APC_u15	APC_15aa	APC_u15	APC15residuemotif	UnstructuredregiononAPCbetweenAPC_crrregions5and6	1	4.94878012569901e-05
APC_N_CC--APC_u15	APC_N_CC	APC_u15	Coiled-coilN-terminusofAPC,dimerisationdomain	UnstructuredregiononAPCbetweenAPC_crrregions5and6	1	4.94878012569901e-05
APC_basic--APC_u15	APC_basic	APC_u15	APCbasicdomain	UnstructuredregiononAPCbetweenAPC_crrregions5and6	1	4.94878012569901e-05
APC_r--APC_u15	APC_r	APC_u15	APCrepeat	UnstructuredregiononAPCbetweenAPC_crrregions5and6	1	4.94878012569901e-05
APC_u13--APC_u15	APC_u13	APC_u15	UnstructuredregiononAPCbetweenAPC_crrandSAMP	UnstructuredregiononAPCbetweenAPC_crrregions5and6	1	4.94878012569901e-05
APC_u14--APC_u15	APC_u14	APC_u15	UnstructuredregiononAPCbetweenSAMPandAPC_crr	UnstructuredregiononAPCbetweenAPC_crrregions5and6	1	4.94878012569901e-05
APC_15aa--APC_u5	APC_15aa	APC_u5	APC15residuemotif	UnstructuredregiononAPCbetween1stand2ndcatenin-bdgmotifs	1	4.94878012569901e-05
APC_N_CC--APC_u5	APC_N_CC	APC_u5	Coiled-coilN-terminusofAPC,dimerisationdomain	UnstructuredregiononAPCbetween1stand2ndcatenin-bdgmotifs	1	4.94878012569901e-05
APC_basic--APC_u5	APC_basic	APC_u5	APCbasicdomain	UnstructuredregiononAPCbetween1stand2ndcatenin-bdgmotifs	1	4.94878012569901e-05
APC_r--APC_u5	APC_r	APC_u5	APCrepeat	UnstructuredregiononAPCbetween1stand2ndcatenin-bdgmotifs	1	4.94878012569901e-05
APC_u13--APC_u5	APC_u13	APC_u5	UnstructuredregiononAPCbetweenAPC_crrandSAMP	UnstructuredregiononAPCbetween1stand2ndcatenin-bdgmotifs	1	4.94878012569901e-05
APC_u14--APC_u5	APC_u14	APC_u5	UnstructuredregiononAPCbetweenSAMPandAPC_crr	UnstructuredregiononAPCbetween1stand2ndcatenin-bdgmotifs	1	4.94878012569901e-05
APC_u15--APC_u5	APC_u15	APC_u5	UnstructuredregiononAPCbetweenAPC_crrregions5and6	UnstructuredregiononAPCbetween1stand2ndcatenin-bdgmotifs	1	4.94878012569901e-05
APC_15aa--APC_u9	APC_15aa	APC_u9	APC15residuemotif	UnstructuredregiononAPCbetween1sttwocreatine-richregions	1	4.94878012569901e-05
APC_N_CC--APC_u9	APC_N_CC	APC_u9	Coiled-coilN-terminusofAPC,dimerisationdomain	UnstructuredregiononAPCbetween1sttwocreatine-richregions	1	4.94878012569901e-05
APC_basic--APC_u9	APC_basic	APC_u9	APCbasicdomain	UnstructuredregiononAPCbetween1sttwocreatine-richregions	1	4.94878012569901e-05
APC_r--APC_u9	APC_r	APC_u9	APCrepeat	UnstructuredregiononAPCbetween1sttwocreatine-richregions	1	4.94878012569901e-05
APC_u13--APC_u9	APC_u13	APC_u9	UnstructuredregiononAPCbetweenAPC_crrandSAMP	UnstructuredregiononAPCbetween1sttwocreatine-richregions	1	4.94878012569901e-05
APC_u14--APC_u9	APC_u14	APC_u9	UnstructuredregiononAPCbetweenSAMPandAPC_crr	UnstructuredregiononAPCbetween1sttwocreatine-richregions	1	4.94878012569901e-05
APC_u15--APC_u9	APC_u15	APC_u9	UnstructuredregiononAPCbetweenAPC_crrregions5and6	UnstructuredregiononAPCbetween1sttwocreatine-richregions	1	4.94878012569901e-05
APC_u5--APC_u9	APC_u5	APC_u9	UnstructuredregiononAPCbetween1stand2ndcatenin-bdgmotifs	UnstructuredregiononAPCbetween1sttwocreatine-richregions	1	4.94878012569901e-05
Acyl-CoA_dh_1--APH	Acyl-CoA_dh_1	APH	Acyl-CoAdehydrogenase,C-terminaldomain	Phosphotransferaseenzymefamily	2	9.89756025139803e-05
Acyl-CoA_dh_M--APH	Acyl-CoA_dh_M	APH	Acyl-CoAdehydrogenase,middledomain	Phosphotransferaseenzymefamily	2	9.89756025139803e-05
Acyl-CoA_dh_N--APH	Acyl-CoA_dh_N	APH	Acyl-CoAdehydrogenase,N-terminaldomain	Phosphotransferaseenzymefamily	2	9.89756025139803e-05
API5--API5	API5	API5	Apoptosisinhibitoryprotein5(API5)	Apoptosisinhibitoryprotein5(API5)	1	4.94878012569901e-05
APOBEC_N--APOBEC_N	APOBEC_N	APOBEC_N	APOBEC-likeN-terminaldomain	APOBEC-likeN-terminaldomain	5	0.000247439006284951
Apo-CII--APOC4	Apo-CII	APOC4	ApolipoproteinC-II	ApolipoproteinC4	1	4.94878012569901e-05
APP_amyloid--APP_Cu_bd	APP_amyloid	APP_Cu_bd	Beta-amyloidprecursorproteinC-terminus	Copper-bindingofamyloidprecursor,CuBD	3	0.00014846340377097
APP_Cu_bd--APP_E2	APP_Cu_bd	APP_E2	Copper-bindingofamyloidprecursor,CuBD	E2domainofamyloidprecursorprotein	3	0.00014846340377097
APP_amyloid--APP_E2	APP_amyloid	APP_E2	Beta-amyloidprecursorproteinC-terminus	E2domainofamyloidprecursorprotein	3	0.00014846340377097
APP_Cu_bd--APP_N	APP_Cu_bd	APP_N	Copper-bindingofamyloidprecursor,CuBD	AmyloidA4N-terminalheparin-binding	3	0.00014846340377097
APP_E2--APP_N	APP_E2	APP_N	E2domainofamyloidprecursorprotein	AmyloidA4N-terminalheparin-binding	3	0.00014846340377097
APP_amyloid--APP_N	APP_amyloid	APP_N	Beta-amyloidprecursorproteinC-terminus	AmyloidA4N-terminalheparin-binding	3	0.00014846340377097
ARA70--ARA70	ARA70	ARA70	Nuclearcoactivator	Nuclearcoactivator	1	4.94878012569901e-05
Arf--ARL17	Arf	ARL17	ADP-ribosylationfactorfamily	ADP-ribosylationfactor-likeprotein17	2	9.89756025139803e-05
ART--ART	ART	ART	NAD:arginineADP-ribosyltransferase	NAD:arginineADP-ribosyltransferase	1	4.94878012569901e-05
ASC--ASC	ASC	ASC	Amiloride-sensitivesodiumchannel	Amiloride-sensitivesodiumchannel	1	4.94878012569901e-05
ASD1--ASD2	ASD1	ASD2	Apx/ShroomdomainASD1	Apx/ShroomdomainASD2	3	0.00014846340377097
ASF1_hist_chap--ASF1_hist_chap	ASF1_hist_chap	ASF1_hist_chap	ASF1likehistonechaperone	ASF1likehistonechaperone	1	4.94878012569901e-05
ATE_C--ATE_N	ATE_C	ATE_N	Arginine-tRNA-proteintransferase,Cterminus	Arginine-tRNA-proteintransferase,Nterminus	1	4.94878012569901e-05
ATG_C--ATG2_CAD	ATG_C	ATG2_CAD	Autophagy-relatedproteinCterminaldomain	Autophagy-relatedprotein2CADmotif	2	9.89756025139803e-05
ATG7_N--ATG7_N	ATG7_N	ATG7_N	Ubiquitin-likemodifier-activatingenzymeATG7N-terminus	Ubiquitin-likemodifier-activatingenzymeATG7N-terminus	1	4.94878012569901e-05
ATP-gua_Ptrans--ATP-gua_PtransN	ATP-gua_Ptrans	ATP-gua_PtransN	ATP:guanidophosphotransferase,C-terminalcatalyticdomain	ATP:guanidophosphotransferase,N-terminaldomain	5	0.000247439006284951
APS_kinase--ATP-sulfurylase	APS_kinase	ATP-sulfurylase	Adenylylsulphatekinase	ATP-sulfurylase	2	9.89756025139803e-05
ATP-synt_C--ATP-synt_C	ATP-synt_C	ATP-synt_C	ATPsynthasesubunitC	ATPsynthasesubunitC	2	9.89756025139803e-05
ATP-synt_D--ATP-synt_D	ATP-synt_D	ATP-synt_D	ATPsynthasesubunitD	ATPsynthasesubunitD	1	4.94878012569901e-05
ATP-synt_F--ATP-synt_F	ATP-synt_F	ATP-synt_F	ATPsynthase(F/14-kDa)subunit	ATPsynthase(F/14-kDa)subunit	1	4.94878012569901e-05
ATP-synt_ab--ATP-synt_ab	ATP-synt_ab	ATP-synt_ab	ATPsynthasealpha/betafamily,nucleotide-bindingdomain	ATPsynthasealpha/betafamily,nucleotide-bindingdomain	1	4.94878012569901e-05
ATP-synt_ab--ATP-synt_ab_C	ATP-synt_ab	ATP-synt_ab_C	ATPsynthasealpha/betafamily,nucleotide-bindingdomain	ATPsynthasealpha/betachain,Cterminaldomain	1	4.94878012569901e-05
ATP-synt_ab--ATP-synt_ab_N	ATP-synt_ab	ATP-synt_ab_N	ATPsynthasealpha/betafamily,nucleotide-bindingdomain	ATPsynthasealpha/betafamily,beta-barreldomain	5	0.000247439006284951
ATP-synt_ab_C--ATP-synt_ab_N	ATP-synt_ab_C	ATP-synt_ab_N	ATPsynthasealpha/betachain,Cterminaldomain	ATPsynthasealpha/betafamily,beta-barreldomain	1	4.94878012569901e-05
ATP-synt_ab--ATP-synt_ab_Xtn	ATP-synt_ab	ATP-synt_ab_Xtn	ATPsynthasealpha/betafamily,nucleotide-bindingdomain	ATPsynthasealpha/betasubunitN-termextension	1	4.94878012569901e-05
ATP-synt_ab_N--ATP-synt_ab_Xtn	ATP-synt_ab_N	ATP-synt_ab_Xtn	ATPsynthasealpha/betafamily,beta-barreldomain	ATPsynthasealpha/betasubunitN-termextension	1	4.94878012569901e-05
ATP1G1_PLM_MAT8--ATP1G1_PLM_MAT8	ATP1G1_PLM_MAT8	ATP1G1_PLM_MAT8	ATP1G1/PLM/MAT8family	ATP1G1/PLM/MAT8family	1	4.94878012569901e-05
AT_hook--AT_hook	AT_hook	AT_hook	AThookmotif	AThookmotif	1	4.94878012569901e-05
ATXN-1_C--AXH	ATXN-1_C	AXH	Capicuatranscriptionalrepressormodulator	Ataxin-1andHBP1module(AXH)	1	4.94878012569901e-05
Axin_b-cat_bind--AXIN1_TNKS_BD	Axin_b-cat_bind	AXIN1_TNKS_BD	Axinbeta-cateninbindingdomain	Axin-1tankyrasebindingdomain	2	9.89756025139803e-05
A_deaminase--A_deaminase	A_deaminase	A_deaminase	Adenosine/AMPdeaminase	Adenosine/AMPdeaminase	2	9.89756025139803e-05
A_deaminase--A_deaminase_N	A_deaminase	A_deaminase_N	Adenosine/AMPdeaminase	Adenosine/AMPdeaminaseN-terminal	1	4.94878012569901e-05
Aa_trans--Aa_trans	Aa_trans	Aa_trans	Transmembraneaminoacidtransporterprotein	Transmembraneaminoacidtransporterprotein	4	0.000197951205027961
AbLIM_anchor--AbLIM_anchor	AbLIM_anchor	AbLIM_anchor	Putativeadherens-junctionanchoringregionofAbLIM	Putativeadherens-junctionanchoringregionofAbLIM	3	0.00014846340377097
Abhydro_lipase--Abhydrolase_1	Abhydro_lipase	Abhydrolase_1	Partialalpha/beta-hydrolaselipaseregion	alpha/betahydrolasefold	1	4.94878012569901e-05
Abhydrolase_2--Abhydrolase_2	Abhydrolase_2	Abhydrolase_2	Phospholipase/Carboxylesterase	Phospholipase/Carboxylesterase	1	4.94878012569901e-05
Abhydrolase_3--Abhydrolase_3	Abhydrolase_3	Abhydrolase_3	alpha/betahydrolasefold	alpha/betahydrolasefold	6	0.000296926807541941
Acatn--Acatn	Acatn	Acatn	Acetyl-coenzymeAtransporter1	Acetyl-coenzymeAtransporter1	1	4.94878012569901e-05
Aconitase--Aconitase	Aconitase	Aconitase	Aconitasefamily(aconitatehydratase)	Aconitasefamily(aconitatehydratase)	2	9.89756025139803e-05
Aconitase--Aconitase_C	Aconitase	Aconitase_C	Aconitasefamily(aconitatehydratase)	AconitaseC-terminaldomain	3	0.00014846340377097
Actin--Actin	Actin	Actin	Actin	Actin	6	0.000296926807541941
ACOX--Acyl-CoA_dh_1	ACOX	Acyl-CoA_dh_1	Acyl-CoAoxidase	Acyl-CoAdehydrogenase,C-terminaldomain	2	9.89756025139803e-05
ACOX--Acyl-CoA_dh_M	ACOX	Acyl-CoA_dh_M	Acyl-CoAoxidase	Acyl-CoAdehydrogenase,middledomain	4	0.000197951205027961
Acyl-CoA_dh_1--Acyl-CoA_dh_M	Acyl-CoA_dh_1	Acyl-CoA_dh_M	Acyl-CoAdehydrogenase,C-terminaldomain	Acyl-CoAdehydrogenase,middledomain	13	0.000643341416340872
Acyl-CoA_dh_1--Acyl-CoA_dh_N	Acyl-CoA_dh_1	Acyl-CoA_dh_N	Acyl-CoAdehydrogenase,C-terminaldomain	Acyl-CoAdehydrogenase,N-terminaldomain	11	0.000544365813826892
Acyl-CoA_dh_M--Acyl-CoA_dh_N	Acyl-CoA_dh_M	Acyl-CoA_dh_N	Acyl-CoAdehydrogenase,middledomain	Acyl-CoAdehydrogenase,N-terminaldomain	11	0.000544365813826892
